timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636624.463556,-0.109700,0.063343,-0.006235,0.051134,0.051023,-0.012354,0.586008,0.017624,-0.808557,0.050184
1403636624.713556,-0.094434,0.085970,-0.006596,0.081273,0.119110,-0.025450,0.580683,0.019699,-0.812967,0.038677
1403636624.813555,-0.085540,0.099262,-0.007275,0.118677,0.146133,0.014381,0.580217,0.026032,-0.813467,0.030442
1403636625.063556,-0.049545,0.134277,0.023263,0.134651,0.096426,0.224141,0.555477,0.046067,-0.830236,0.005130
1403636625.213556,-0.032794,0.142543,0.062030,0.070888,0.032074,0.288448,0.549324,0.042329,-0.834458,0.011992
1403636625.363556,-0.026999,0.144816,0.094049,0.006910,0.009122,0.054682,0.557724,0.038975,-0.828873,0.019579
1403636625.813555,-0.051359,0.138287,0.115849,-0.174301,-0.072039,0.345789,0.563672,0.044047,-0.824520,0.022320
1403636625.963556,-0.046395,0.158690,0.209668,-0.144128,-0.077149,0.500392,0.577661,0.042427,-0.814392,0.035445
1403636626.163556,-0.087101,0.160654,0.289943,-0.104846,-0.056605,0.428551,0.582611,0.038591,-0.810364,0.049001
1403636626.463556,-0.112321,0.192344,0.348447,-0.058432,0.062952,0.069880,0.582942,0.043287,-0.809517,0.054561
1403636627.813555,-0.012545,0.223364,0.365257,0.103054,0.091518,-0.133033,0.559509,0.033342,-0.827737,0.025850
1403636628.413556,0.008997,0.259854,0.412028,-0.134733,0.116867,0.197894,0.579298,-0.003074,-0.815017,0.012219
1403636629.513556,-0.202765,0.605066,0.508089,-0.094426,0.322952,-0.054601,0.572328,-0.065230,-0.817065,-0.024151
1403636629.863556,-0.273216,0.742128,0.450325,-0.153642,0.415546,-0.239776,0.547556,-0.120133,-0.825261,-0.068762
1403636630.313555,-0.393130,0.893325,0.410666,-0.252865,0.409905,0.065673,0.566793,-0.160164,-0.801313,-0.104873
1403636630.963556,-0.615676,1.172717,0.471168,-0.318419,0.362528,-0.016398,0.560610,-0.151753,-0.807834,-0.100470
1403636632.263556,-1.120965,1.722315,0.454581,-0.422213,0.269958,-0.022474,0.563642,-0.135188,-0.807905,-0.106374
1403636633.963556,-1.879193,2.076011,0.238485,-0.674086,0.241442,-0.037734,0.558663,-0.064058,-0.826646,-0.020792
1403636635.313555,-2.647171,2.423083,0.201523,-0.654805,0.247346,-0.076280,0.564047,-0.014065,-0.825551,-0.009855
1403636635.813555,-3.026827,2.551992,0.295204,-0.724563,0.318231,0.201347,0.569318,-0.026096,-0.821689,0.005097
1403636636.163556,-3.248675,2.671760,0.380594,-0.756848,0.425232,0.256590,0.558580,-0.023499,-0.829112,-0.003315
1403636636.763556,-3.647439,2.886345,0.536033,-0.536034,0.278952,0.015075,0.592626,0.000685,-0.804625,-0.036910
1403636638.213556,-4.318998,3.043003,0.578850,-0.489876,0.021512,-0.101007,0.580376,-0.003088,-0.814315,-0.006090
1403636639.313555,-4.969185,3.218681,0.544243,-0.662928,0.309379,-0.200090,0.563777,-0.018486,-0.825405,0.023092
1403636639.713556,-5.236555,3.351590,0.440618,-0.678279,0.324895,-0.258722,0.573541,0.006113,-0.819097,-0.010163
1403636641.113555,-5.951478,3.721437,0.420707,-0.361318,0.181246,0.014922,0.576623,0.037541,-0.815957,0.017358
1403636644.313555,-6.640583,4.298111,0.421884,-0.627182,0.212882,-0.097635,0.561624,-0.021219,-0.827119,-0.000252
1403636645.063556,-7.098056,4.588717,0.175759,-0.430113,0.420847,-0.305071,0.563334,-0.018854,-0.825869,-0.015499
1403636645.863556,-7.668030,4.907657,0.090055,-0.857645,0.402702,0.039994,0.552648,-0.021947,-0.832952,-0.016499
1403636646.313555,-8.066554,5.116830,0.148014,-0.858800,0.512137,0.108034,0.576517,-0.086640,-0.811720,-0.035008
1403636647.013556,-8.514899,5.495384,0.267889,-0.508210,0.477251,0.216359,0.576356,-0.155472,-0.795038,-0.107532
1403636648.263556,-8.972088,6.217988,0.344920,-0.069991,0.508924,-0.228414,0.567438,-0.219849,-0.779532,-0.148360
1403636648.813555,-8.970158,6.434634,0.226384,0.100553,0.430015,-0.097493,0.532715,-0.317743,-0.753726,-0.217217
1403636649.863556,-8.955272,6.923709,0.571538,0.145209,0.336512,0.323021,0.544414,-0.322315,-0.738907,-0.231767
1403636650.863556,-8.676056,7.198190,0.591014,0.347628,0.104382,-0.042476,0.487853,-0.442413,-0.685461,-0.310504
1403636652.213556,-8.125961,7.209688,0.595521,0.638201,-0.206638,-0.251972,0.470884,-0.498956,-0.636848,-0.351761
1403636652.713556,-7.825974,7.227339,0.513266,0.599272,-0.123832,-0.075085,0.391062,-0.590680,-0.590223,-0.387047
