timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636624.463556,-0.109700,0.063343,-0.006235,0.051134,0.051023,-0.012354,0.586008,0.017624,-0.808557,0.050184
1403636624.713556,-0.093571,0.084171,-0.007511,0.085582,0.112431,-0.026808,0.580881,0.019115,-0.812846,0.038629
1403636624.813555,-0.083697,0.097720,-0.007817,0.124569,0.144954,0.012533,0.580478,0.025322,-0.813321,0.030203
1403636625.063556,-0.047842,0.133422,0.021944,0.140522,0.102815,0.231818,0.556549,0.045296,-0.829565,0.004832
1403636625.213556,-0.030857,0.143366,0.061990,0.080199,0.039129,0.297898,0.551409,0.041733,-0.833107,0.011833
1403636625.363556,-0.024659,0.146978,0.095612,0.019012,0.016483,0.072022,0.560450,0.037946,-0.827077,0.019977
1403636625.813555,-0.055913,0.139557,0.121687,-0.165819,-0.068053,0.358670,0.566887,0.042232,-0.822383,0.023260
1403636625.963556,-0.079152,0.128003,0.189070,-0.148575,-0.082726,0.504979,0.576550,0.040671,-0.815564,0.028112
1403636626.163556,-0.104074,0.111391,0.285769,-0.103672,-0.071130,0.439283,0.578102,0.031412,-0.814275,0.042058
1403636626.463556,-0.128918,0.107017,0.361805,-0.061537,0.038767,0.086811,0.579624,0.030838,-0.813009,0.045838
1403636627.813555,-0.067884,0.259100,0.402472,0.015871,0.126038,-0.109254,0.558553,0.022828,-0.828873,0.021590
1403636628.413556,-0.148447,0.321356,0.461864,-0.195681,0.121968,0.226159,0.578179,-0.013494,-0.815718,0.011393
1403636629.513556,-0.338056,0.608913,0.530191,-0.200648,0.323911,-0.015054,0.571093,-0.065862,-0.817891,-0.023841
1403636629.863556,-0.410700,0.746419,0.482766,-0.244144,0.443652,-0.202428,0.549406,-0.121123,-0.824000,-0.067135
1403636630.313555,-0.538353,0.948057,0.469978,-0.296350,0.450554,0.103201,0.563366,-0.159449,-0.803982,-0.103966
1403636630.963556,-0.753692,1.220071,0.557953,-0.372259,0.385213,0.011131,0.556892,-0.150810,-0.810795,-0.098685
1403636632.263556,-1.250876,1.693554,0.455762,-0.425317,0.274750,-0.003403,0.565777,-0.135100,-0.806461,-0.106133
1403636633.963556,-2.083469,2.090565,0.273564,-0.647212,0.269149,-0.007121,0.558508,-0.062726,-0.826881,-0.020020
1403636635.313555,-3.012676,2.525202,0.283686,-0.678003,0.231743,-0.053990,0.562219,-0.013581,-0.826815,-0.010069
1403636635.813555,-3.368373,2.655500,0.316967,-0.755430,0.311990,0.221349,0.569164,-0.025777,-0.821804,0.005141
1403636636.163556,-3.634768,2.789775,0.406092,-0.786856,0.433798,0.272881,0.558951,-0.023926,-0.828850,-0.002921
1403636636.763556,-4.060087,3.032105,0.550692,-0.554297,0.305779,0.026752,0.593029,-0.000711,-0.804409,-0.035224
1403636638.213556,-4.730131,3.177904,0.563528,-0.493483,0.053819,-0.101959,0.579696,-0.003329,-0.814813,-0.004596
1403636639.313555,-5.335009,3.349900,0.507677,-0.644376,0.337245,-0.189377,0.566099,-0.019379,-0.823767,0.023759
1403636639.713556,-5.596785,3.498030,0.408673,-0.637835,0.338298,-0.252337,0.573162,0.007019,-0.819363,-0.008993
1403636641.113555,-6.249384,3.856813,0.424194,-0.316600,0.177957,0.046337,0.576795,0.038062,-0.815796,0.018303
1403636644.313555,-6.902648,4.454016,0.486376,-0.555026,0.237540,-0.031489,0.560095,-0.022832,-0.828113,-0.000918
1403636645.063556,-7.269414,4.738262,0.293319,-0.397879,0.420957,-0.240892,0.563156,-0.019616,-0.825981,-0.015009
1403636645.863556,-7.772038,5.074911,0.245531,-0.839603,0.409912,0.117518,0.553246,-0.022565,-0.832557,-0.016059
1403636646.313555,-8.163043,5.277163,0.354876,-0.833677,0.523396,0.198486,0.575377,-0.087060,-0.812520,-0.034232
1403636647.013556,-8.618085,5.660267,0.512418,-0.493574,0.498947,0.296274,0.574871,-0.156761,-0.795869,-0.107438
1403636648.263556,-9.038207,6.306406,0.606468,-0.092446,0.553971,-0.155909,0.565108,-0.222263,-0.780697,-0.147529
1403636648.813555,-9.029713,6.584142,0.515740,0.073531,0.452555,-0.044675,0.530725,-0.317310,-0.756246,-0.213864
1403636649.863556,-9.006076,7.070514,0.857098,0.122609,0.384546,0.360822,0.542744,-0.322223,-0.741212,-0.228486
1403636650.863556,-8.740585,7.327162,0.863832,0.318822,0.147704,-0.018103,0.485348,-0.441692,-0.688253,-0.309278
1403636652.213556,-8.237634,7.338610,0.905954,0.607665,-0.147740,-0.215630,0.469260,-0.500130,-0.638066,-0.350054
1403636652.713556,-7.934378,7.247817,0.790693,0.584130,-0.089473,-0.055908,0.390211,-0.592161,-0.590128,-0.385785
1403636654.563556,-7.048460,7.270055,0.809801,0.440016,-0.189205,0.208071,0.390811,-0.599504,-0.551389,-0.428758
1403636655.663556,-6.634154,6.994894,0.801115,0.343035,-0.485094,-0.048670,0.354434,-0.657553,-0.480060,-0.459938
1403636655.963556,-6.521979,6.849309,0.735752,0.412089,-0.480525,-0.291339,0.327186,-0.691737,-0.448057,-0.462271
1403636656.513556,-6.260107,6.590493,0.717262,0.533163,-0.407461,0.194500,0.296136,-0.711026,-0.424533,-0.475939
1403636657.413556,-5.794448,6.191491,0.711515,0.477846,-0.587975,-0.057267,0.322589,-0.694303,-0.422661,-0.485012
1403636658.113555,-5.389857,5.772517,0.607470,0.720193,-0.614477,-0.058242,0.309981,-0.713842,-0.417202,-0.469345
1403636658.463556,-5.127117,5.568822,0.581323,0.753928,-0.535735,-0.144679,0.288082,-0.709749,-0.426663,-0.480858
1403636658.963556,-4.783203,5.353290,0.478159,0.573022,-0.339003,-0.284157,0.282163,-0.696295,-0.429522,-0.501068
1403636659.663556,-4.466280,5.122297,0.284589,0.358185,-0.300925,-0.205803,0.287804,-0.699542,-0.425638,-0.496632
1403636660.463556,-4.267661,4.937713,-0.012446,0.196687,-0.050296,-0.289413,0.262103,-0.723162,-0.433495,-0.469489
1403636661.613555,-4.276444,5.095766,-0.464885,-0.253225,0.105516,-0.193773,0.290346,-0.697611,-0.419164,-0.503329
1403636663.113555,-4.700472,5.069316,-0.572240,-0.128556,-0.004900,-0.156574,0.301729,-0.727878,-0.404707,-0.464075
1403636664.713556,-4.944721,5.802729,-0.884188,-0.536056,0.693065,-0.207571,0.307000,-0.684637,-0.434441,-0.498281
1403636664.913556,-5.057279,5.934640,-0.910221,-0.591823,0.643291,-0.070525,0.304817,-0.682661,-0.443669,-0.494185
1403636664.963556,-5.086953,5.966659,-0.913033,-0.594991,0.646774,-0.031968,0.304172,-0.683654,-0.445705,-0.491370
1403636665.163556,-5.210287,6.090129,-0.904349,-0.622367,0.621658,0.116454,0.301374,-0.691028,-0.452005,-0.476808
1403636665.563556,-5.443595,6.334686,-0.849660,-0.564360,0.575791,0.145471,0.302555,-0.685502,-0.452036,-0.483955
1403636665.713556,-5.530458,6.421297,-0.827753,-0.591437,0.595378,0.155407,0.294276,-0.683978,-0.455077,-0.488345
1403636665.863556,-5.623249,6.510844,-0.803204,-0.643855,0.600221,0.168225,0.302066,-0.682805,-0.446695,-0.492949
1403636666.913556,-6.245767,6.956910,-0.749273,-0.524564,0.302881,0.079193,0.307512,-0.702964,-0.447926,-0.458955
1403636667.063556,-6.317106,7.005301,-0.741943,-0.416832,0.342156,0.049131,0.316490,-0.709143,-0.442659,-0.448333
1403636667.263556,-6.390463,7.077531,-0.740416,-0.348229,0.362452,-0.026103,0.313297,-0.684747,-0.447258,-0.482625
1403636667.463556,-6.464242,7.146400,-0.758846,-0.396753,0.322207,-0.132178,0.309982,-0.679707,-0.451902,-0.487540
