time, q_w, q_x, q_y, q_z, v_x, v_y, v_z, p_x, p_y, p_z, b_w_x, b_w_y, b_w_z, b_a_x, b_a_y, b_a_z
1403637130588318976,0.611472,-0.0624554,-0.788798,0,0,0,0,0,0,0,0,0,0,0,0,0
1403637130638319104,0.611031,-0.0631113,-0.789087,0.000561776,-0.0078441,-0.00187078,-0.000437955,-0.000124534,-0.000231845,-6.62239e-05,-6.55253e-05,-2.28631e-05,-8.76609e-06,-2.18105e-08,9.54307e-08,-9.55677e-08
1403637130688318976,0.607519,-0.0537987,-0.79237,-0.0132782,0.0109821,-0.0115078,-0.00289775,0.000739967,-0.000447723,0.000171668,-0.000283528,0.00162612,0.000696273,0.00104499,0.000548067,-0.000151702
1403637130738319104,0.608075,-0.0565713,-0.791788,-0.0107626,0.0247353,-0.0445938,0.00594851,0.0053601,-0.0048345,0.000923396,-0.000605848,0.00322281,0.00132087,0.000687934,-0.00163809,0.000671313
1403637130788318976,0.608364,-0.0589435,-0.791419,-0.00865778,0.0236815,-0.0436228,0.000870485,0.00632535,-0.0069573,0.000432041,-0.000744134,0.00496403,0.00181745,0.000827162,-0.00422735,0.00173677
1403637130838319104,0.60914,-0.0621985,-0.790604,-0.00491398,0.00566726,-0.0222514,0.00602268,0.00424836,-0.00576775,0.00115409,-0.000812978,0.00559006,0.00221371,-0.00392122,-0.00801654,0.00422549
1403637130888318976,0.610042,-0.065854,-0.789628,-0.000300536,0.00569901,-0.00811136,0.00180674,0.00429067,-0.00425102,0.000630987,-0.00301074,0.00508254,0.00402263,-0.0191329,-0.0086166,0.00768278
1403637130938319104,0.609991,-0.0669769,-0.789572,0.000472112,-0.00121462,0.00827032,-0.00171638,0.00280086,-0.00337797,-0.000482232,-0.00278749,0.00528847,0.00502803,-0.0192276,-0.00725826,0.00594576
1403637130988318976,0.610196,-0.0675743,-0.789363,0.000380856,-0.00951895,0.0152005,-0.00274104,-6.2915e-05,-0.00264296,-0.00129991,-0.00220897,0.00519969,0.00620079,-0.0198307,-0.00547381,0.0062323
1403637131038319104,0.610496,-0.0680299,-0.789092,0.000175629,-0.0111875,0.00954736,-0.00647836,0.000369045,-0.00369636,-0.0016076,-0.00253016,0.0056313,0.00736953,-0.0136422,-0.0036236,0.00683736
1403637131088318976,0.611265,-0.0680073,-0.788499,-1.61566e-05,-0.000895833,0.0106986,-0.0103106,0.000187008,-0.00526259,-0.00164694,-0.00255273,0.00654779,0.00863874,-0.00647929,-0.00197828,0.00962096
1403637131138319104,0.611976,-0.0679971,-0.787947,-0.00131046,0.000151148,-0.00933,-0.00783799,0.0019097,-0.0032145,-0.00206879,-0.00051332,0.00688428,0.0126805,-0.0174998,0.00185831,0.0171551
1403637131188318976,0.612335,-0.069236,-0.787561,-0.000192521,0.000874908,0.0180656,-0.00632992,0.000372617,-0.00322471,-0.00270326,-7.5675e-05,0.00639625,0.0134036,-0.0189916,0.00183369,0.0172217
1403637131238319104,0.612965,-0.0698717,-0.787015,-0.000167043,0.00432228,0.0104192,-0.00255653,0.000539877,-0.00369428,-0.00282064,0.000261964,0.00583884,0.0144394,-0.0294345,0.00313805,0.0213577
1403637131288318976,0.613338,-0.070801,-0.786641,-0.000231138,0.0040086,0.0176701,-0.00482151,-0.00149234,-0.00479667,-0.00347899,0.00102245,0.00546342,0.0154839,-0.024554,0.00305895,0.018374
1403637131338319104,0.613234,-0.0703609,-0.786759,-0.00182084,0.00506913,0.00387242,-0.00724999,0.00111608,-0.00591144,-0.00301618,0.00206128,0.00607615,0.0179234,-0.0172625,0.00320629,0.0140815
1403637131388318976,0.613169,-0.0713339,-0.786721,-0.00217833,-0.00130922,-0.00155121,-0.00805274,-0.00380234,-0.0058132,-0.00290983,0.00364176,0.00679759,0.0192949,-0.0174919,0.00348288,0.0137419
1403637131438319104,0.613411,-0.0715478,-0.786515,-0.00153289,-0.00601896,0.00474762,-0.00757336,-0.00579377,-0.00479138,-0.00282374,0.00318877,0.00704475,0.0208422,-0.0214987,0.00361639,0.0107085
1403637131488318976,0.613417,-0.070658,-0.786591,-0.00119297,-0.00111385,0.0119482,-0.00716988,-0.0066074,-0.00499483,-0.00299583,0.00140251,0.00774594,0.0240608,-0.021723,0.0033392,0.0108893
1403637131538319104,0.613537,-0.0716873,-0.786405,-0.0012877,0.00132494,0.0183322,-0.00445046,-0.00698382,-0.00596607,-0.00331322,0.00164958,0.00813612,0.0254957,-0.0237948,0.00341696,0.0120775
1403637131588318976,0.613664,-0.0716587,-0.786307,-0.00152678,-0.000117802,0.00948605,-0.00264377,-0.00909659,-0.00473838,-0.00254762,0.00168136,0.00885774,0.029,-0.0261528,0.00364028,0.0143085
1403637131638319104,0.614194,-0.0700852,-0.786033,-0.00238397,0.00463559,0.00464927,-0.00177075,-0.0051608,-0.00278469,-0.00300383,0.0017052,0.00816185,0.0364353,-0.0264684,0.00257474,0.0117044
1403637131688318976,0.614296,-0.0704476,-0.785922,-0.00228888,0.00775647,0.0140755,-0.000332318,-0.00277625,-0.00344463,-0.00351278,0.00234479,0.00770646,0.0391026,-0.0295442,0.00196109,0.00659659
