timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403637150.038319,-0.020546,0.079772,0.004934,0.003074,0.146802,0.105546,0.552191,-0.079557,-0.829032,-0.038238
1403637150.138319,-0.022177,0.095794,0.019548,-0.060385,0.184020,0.181002,0.539375,-0.075863,-0.837190,-0.049318
1403637150.238319,-0.030706,0.113767,0.043097,-0.141436,0.197211,0.250328,0.538141,-0.076029,-0.837437,-0.057629
1403637150.338319,-0.047407,0.134011,0.070667,-0.214587,0.206710,0.294782,0.544613,-0.078872,-0.832646,-0.062251
1403637150.388319,-0.058646,0.145384,0.085807,-0.242944,0.208419,0.302386,0.551948,-0.081446,-0.827563,-0.062138
1403637150.488319,-0.082309,0.167074,0.115495,-0.258817,0.219580,0.283360,0.560843,-0.084744,-0.821031,-0.064657
1403637150.588319,-0.107458,0.188529,0.143377,-0.265847,0.218364,0.258823,0.563931,-0.087615,-0.818447,-0.066702
1403637150.838319,-0.173507,0.239609,0.204149,-0.284071,0.201654,0.224431,0.566420,-0.089886,-0.816011,-0.072227
1403637151.088319,-0.242990,0.287521,0.249801,-0.258178,0.163072,0.137892,0.580065,-0.087060,-0.806367,-0.075606
1403637151.538319,-0.329058,0.347506,0.340820,-0.144055,0.141438,0.320955,0.571081,-0.092304,-0.813593,-0.058424
1403637152.438319,-0.481337,0.515357,0.513500,-0.160518,0.206347,0.019742,0.565162,-0.086819,-0.818287,-0.058824
1403637153.838319,-0.800454,0.849782,0.625331,-0.180643,0.202145,0.168718,0.569144,-0.082291,-0.815504,-0.065242
1403637154.938319,-0.982961,1.121508,0.511624,-0.364150,0.387259,-0.072396,0.544716,-0.106652,-0.827289,-0.086590
1403637155.988319,-1.425976,1.526006,0.551652,-0.331615,0.453405,-0.190373,0.555569,-0.241412,-0.781772,-0.147969
1403637156.838319,-1.546755,2.015280,0.410455,0.167315,0.618948,-0.322515,0.511020,-0.409840,-0.705314,-0.270962
1403637158.038319,-1.336038,3.041853,0.262687,0.556990,0.988877,-0.001842,0.513488,-0.414207,-0.700649,-0.271773
1403637158.588319,-0.947507,3.636420,0.292983,0.675346,0.908886,0.023795,0.504761,-0.449199,-0.674725,-0.296968
