timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403637150.038,-0.020546,0.079772,0.004934,0.015279,0.136073,0.100676,0.552191,-0.079557,-0.829032,-0.038238
1403637150.138,-0.020517,0.095317,0.018135,-0.040727,0.172210,0.178125,0.537469,-0.077785,-0.838421,-0.045937
1403637150.238,-0.027897,0.113746,0.039231,-0.118610,0.187052,0.249487,0.535072,-0.078304,-0.839437,-0.053811
1403637150.338,-0.043475,0.132910,0.066616,-0.193238,0.195029,0.298323,0.541000,-0.080167,-0.835029,-0.060013
1403637150.388,-0.053967,0.142596,0.081750,-0.222716,0.192838,0.306912,0.548270,-0.081694,-0.829989,-0.061873
1403637150.488,-0.077103,0.162592,0.111359,-0.243215,0.204830,0.288276,0.557060,-0.083617,-0.823566,-0.066460
1403637150.588,-0.101808,0.183001,0.139379,-0.254563,0.205119,0.268796,0.560121,-0.085987,-0.820983,-0.069571
1403637150.838,-0.169955,0.234310,0.201264,-0.287941,0.198508,0.233332,0.562374,-0.088055,-0.818686,-0.075626
1403637151.088,-0.240620,0.279726,0.249099,-0.266471,0.163628,0.145422,0.576412,-0.083357,-0.808713,-0.082272
1403637151.538,-0.327200,0.339536,0.348031,-0.154108,0.144238,0.321105,0.568922,-0.088127,-0.815160,-0.063717
1403637152.438,-0.464806,0.491055,0.519949,-0.172224,0.195457,0.046478,0.562650,-0.083734,-0.820050,-0.062572
1403637153.838,-0.729895,0.808364,0.612553,-0.198683,0.193130,0.175967,0.566422,-0.077968,-0.817403,-0.070169
1403637154.938,-0.984498,1.106929,0.521407,-0.357861,0.362032,-0.067543,0.541496,-0.105932,-0.829620,-0.085294
1403637155.988,-1.436545,1.473978,0.556829,-0.327723,0.434365,-0.170364,0.554432,-0.237567,-0.782931,-0.152219
1403637156.838,-1.536462,1.961350,0.398156,0.095363,0.680428,-0.307266,0.506903,-0.406753,-0.708799,-0.274209
1403637158.038,-1.297567,2.964042,0.222213,0.384897,1.008303,0.011349,0.506973,-0.409322,-0.705141,-0.279632
1403637158.588,-1.033629,3.507823,0.278626,0.591940,0.971511,0.022878,0.499123,-0.442729,-0.680008,-0.304043
1403637158.988,-0.751633,3.882499,0.253947,0.776377,0.940261,-0.032271,0.465251,-0.495897,-0.652554,-0.334342
1403637159.738,-0.112130,4.599661,0.190054,0.935040,1.006676,-0.103407,0.455905,-0.493569,-0.660325,-0.335404
1403637160.138,0.256051,5.004567,0.166957,0.904130,1.014194,-0.087194,0.444726,-0.521752,-0.631438,-0.362302
1403637160.438,0.532896,5.297684,0.121440,0.946013,0.932368,-0.213399,0.412187,-0.574245,-0.580955,-0.403510
1403637160.888,0.948468,5.716757,0.014658,0.878882,0.980468,-0.135214,0.342524,-0.643875,-0.523030,-0.441050
1403637161.488,1.480043,6.343616,0.118234,1.033462,1.010055,0.373369,0.369751,-0.659251,-0.487762,-0.436750
1403637161.988,2.045759,6.820045,0.271080,1.140143,0.819937,0.192002,0.343651,-0.647963,-0.456427,-0.503783
1403637162.538,2.634771,7.095860,0.270781,1.111822,0.208656,-0.067281,0.354735,-0.670459,-0.445005,-0.476184
1403637162.788,2.898807,7.084163,0.274915,1.195567,-0.003878,0.026132,0.355345,-0.657686,-0.435329,-0.501647
1403637163.088,3.262869,7.029967,0.254910,1.198427,-0.352171,-0.138770,0.306612,-0.681921,-0.391830,-0.536170
1403637163.338,3.544862,6.910923,0.209072,1.029133,-0.592081,-0.227207,0.248950,-0.713710,-0.332124,-0.564402
