timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403637150.038319,-0.020546,0.079772,0.004934,0.003074,0.146802,0.105546,0.552191,-0.079557,-0.829032,-0.038238
1403637150.138319,-0.022262,0.095613,0.019734,-0.061820,0.184242,0.182004,0.539406,-0.075894,-0.837168,-0.049309
1403637150.238319,-0.030447,0.113352,0.043388,-0.141211,0.196163,0.248455,0.538143,-0.076014,-0.837439,-0.057615
1403637150.338319,-0.047187,0.134189,0.070682,-0.214478,0.207817,0.294487,0.544665,-0.078888,-0.832610,-0.062265
1403637150.388319,-0.058538,0.145684,0.085869,-0.242476,0.209217,0.302502,0.552019,-0.081486,-0.827506,-0.062205
1403637150.488319,-0.081930,0.167200,0.115688,-0.258003,0.220272,0.283732,0.560888,-0.084801,-0.820995,-0.064653
1403637150.588319,-0.107170,0.188690,0.143311,-0.264335,0.218939,0.260229,0.564009,-0.087645,-0.818391,-0.066698
1403637150.838319,-0.172541,0.239703,0.203254,-0.282238,0.201806,0.222922,0.566950,-0.090151,-0.815627,-0.072071
1403637151.088319,-0.241452,0.288938,0.249462,-0.252326,0.165989,0.141625,0.582301,-0.087627,-0.804774,-0.074736
1403637151.538319,-0.331849,0.354908,0.350390,-0.144243,0.146280,0.327915,0.571524,-0.091455,-0.813366,-0.058581
1403637152.438319,-0.482155,0.514874,0.520605,-0.159471,0.201172,0.023360,0.565697,-0.086498,-0.817914,-0.059340
1403637153.838319,-0.746810,0.849339,0.622916,-0.178549,0.196221,0.174644,0.570057,-0.081527,-0.814888,-0.065924
1403637154.938319,-0.981318,1.142690,0.519388,-0.366232,0.384215,-0.069610,0.544856,-0.106501,-0.827198,-0.086788
1403637155.988319,-1.414980,1.519550,0.552190,-0.323039,0.445931,-0.190557,0.555834,-0.241131,-0.781617,-0.148254
1403637156.838319,-1.512650,2.054530,0.395566,0.183089,0.620786,-0.323902,0.512531,-0.410037,-0.704248,-0.270585
1403637158.038319,-1.254800,3.112740,0.231956,0.508153,0.990291,0.001288,0.511963,-0.413234,-0.701415,-0.274134
1403637158.588319,-0.957208,3.623080,0.294863,0.663368,0.910256,0.025271,0.504335,-0.447983,-0.675907,-0.296830
1403637158.988319,-0.656629,4.028950,0.253978,0.832054,0.888022,-0.019498,0.470362,-0.500438,-0.648400,-0.328479
