timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636624.463556,-0.109700,0.063343,-0.006235,0.051134,0.051023,-0.012354,0.586008,0.017624,-0.808557,0.050184
1403636624.713556,-0.094869,0.085540,-0.006699,0.079818,0.117562,-0.023361,0.580654,0.019724,-0.812991,0.038685
1403636624.813555,-0.085606,0.099242,-0.007264,0.117299,0.146515,0.013142,0.580204,0.026071,-0.813485,0.030397
1403636625.063556,-0.049208,0.134338,0.023428,0.135237,0.096280,0.223618,0.555632,0.046091,-0.830133,0.005139
1403636625.213556,-0.032523,0.142731,0.062965,0.072042,0.033803,0.290848,0.550340,0.042264,-0.833775,0.012654
1403636625.363556,-0.028488,0.144858,0.095030,0.004693,0.009241,0.055658,0.558747,0.038708,-0.828184,0.020327
1403636625.813555,-0.057967,0.135193,0.117801,-0.174872,-0.071467,0.345754,0.565194,0.043178,-0.823489,0.023595
1403636625.963556,-0.079529,0.126940,0.186853,-0.157826,-0.078495,0.490851,0.575416,0.041579,-0.816329,0.027805
1403636626.163556,-0.109583,0.116234,0.278038,-0.121985,-0.062676,0.422058,0.579899,0.033880,-0.812945,0.041133
1403636626.463556,-0.134745,0.120899,0.356841,-0.074904,0.053207,0.088165,0.580342,0.032528,-0.812452,0.045452
1403636627.813555,-0.076109,0.274597,0.387221,0.039831,0.169127,-0.117652,0.559001,0.021160,-0.828632,0.020923
1403636628.413556,-0.083463,0.303298,0.434560,-0.125079,0.111679,0.206440,0.579821,-0.012139,-0.814591,0.010030
1403636629.513556,-0.223611,0.580507,0.504323,-0.121304,0.301218,-0.050977,0.571762,-0.065005,-0.817461,-0.024880
1403636629.863556,-0.281484,0.721219,0.447218,-0.183407,0.410548,-0.242838,0.547806,-0.121932,-0.824790,-0.069050
1403636630.313555,-0.405921,0.897158,0.410438,-0.282858,0.420895,0.065385,0.567265,-0.160374,-0.801076,-0.103769
1403636630.963556,-0.599471,1.161270,0.483126,-0.334507,0.389136,-0.001452,0.558883,-0.151788,-0.809054,-0.100211
1403636632.263556,-1.061956,1.667354,0.467652,-0.405166,0.260153,0.003397,0.565447,-0.134652,-0.806307,-0.109575
