timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636624.463556,3.998123,-1.664129,0.617533,0.062362,0.034072,-0.017908,0.609546,-0.110973,-0.784873,-0.010543
1403636624.713556,4.018990,-1.646708,0.615038,0.109253,0.090337,-0.036650,0.602842,-0.109707,-0.789995,-0.021114
1403636624.813555,4.031149,-1.636475,0.613111,0.155070,0.107698,-0.000384,0.601416,-0.103725,-0.791620,-0.029356
1403636625.063556,4.077242,-1.611496,0.639676,0.169731,0.065509,0.211111,0.574408,-0.086265,-0.812408,-0.051011
1403636625.213556,4.098005,-1.606407,0.677023,0.094812,0.024642,0.282240,0.569295,-0.090195,-0.816039,-0.043138
1403636625.363556,4.106185,-1.604328,0.708530,0.012552,0.009411,0.053619,0.578423,-0.092755,-0.809600,-0.036874
1403636625.813555,4.082376,-1.602755,0.731810,-0.165526,-0.004035,0.357387,0.584714,-0.087216,-0.805765,-0.035258
1403636625.963556,4.098615,-1.580126,0.823827,-0.128368,-0.010032,0.510429,0.600071,-0.087426,-0.794767,-0.024473
1403636626.163556,4.065116,-1.563072,0.905631,-0.089495,-0.004701,0.435685,0.606653,-0.090421,-0.789730,-0.011763
1403636626.463556,4.053322,-1.522865,0.963141,-0.034307,0.080001,0.068435,0.607868,-0.085512,-0.789387,-0.006462
1403636627.813555,4.158630,-1.520175,0.973295,0.115824,0.052693,-0.143184,0.580881,-0.098045,-0.807462,-0.030797
1403636628.413556,4.192280,-1.488976,1.016624,-0.084626,0.159080,0.196226,0.597181,-0.133214,-0.789602,-0.046411
1403636629.513556,4.090485,-1.094219,1.100571,-0.004789,0.333507,-0.070327,0.583507,-0.195802,-0.784112,-0.079647
1403636629.863556,4.057164,-0.945837,1.037656,-0.047549,0.430065,-0.257992,0.551435,-0.251807,-0.786441,-0.118566
1403636630.313555,3.981434,-0.769230,0.994209,-0.125246,0.466837,0.051503,0.563624,-0.289580,-0.757607,-0.156557
1403636630.963556,3.848906,-0.436273,1.047346,-0.206313,0.435811,-0.024280,0.558539,-0.281880,-0.765286,-0.151383
1403636632.263556,3.515009,0.231114,1.019837,-0.331802,0.375722,-0.019677,0.561174,-0.265749,-0.767762,-0.158103
1403636633.963556,2.871998,0.771782,0.817543,-0.582198,0.417971,-0.021349,0.570755,-0.195513,-0.794037,-0.074172
1403636635.313555,2.228964,1.317310,0.794704,-0.564476,0.416423,-0.061047,0.578979,-0.145749,-0.799517,-0.065514
1403636635.813555,1.906266,1.551381,0.897706,-0.594515,0.517043,0.214527,0.585851,-0.156845,-0.793446,-0.051237
1403636636.163556,1.731881,1.732232,0.985655,-0.592493,0.631296,0.264381,0.574323,-0.155250,-0.801684,-0.057917
1403636636.763556,1.418361,2.056734,1.145731,-0.436145,0.417906,0.022501,0.603292,-0.129761,-0.780851,-0.097279
1403636638.213556,0.820193,2.396505,1.209897,-0.470192,0.152615,-0.079197,0.595659,-0.133664,-0.789386,-0.064695
1403636639.313555,0.242952,2.744880,1.194684,-0.562849,0.472316,-0.187997,0.583208,-0.149188,-0.797841,-0.032763
1403636639.713556,0.016763,2.942085,1.095496,-0.576940,0.488704,-0.246709,0.588713,-0.125154,-0.795710,-0.067886
1403636641.113555,-0.568035,3.495451,1.085749,-0.295564,0.275412,0.020339,0.596413,-0.092949,-0.796162,-0.042044
1403636644.313555,-1.069647,4.240969,1.082822,-0.548829,0.374646,-0.081459,0.577773,-0.152715,-0.799863,-0.055432
1403636645.063556,-1.443496,4.635736,0.840527,-0.315316,0.509244,-0.310523,0.577357,-0.150667,-0.799336,-0.070857
1403636645.863556,-1.907428,5.096692,0.761628,-0.708880,0.627563,0.054568,0.566754,-0.154451,-0.806231,-0.070064
1403636646.313555,-2.228284,5.411315,0.824852,-0.675531,0.736066,0.115574,0.585384,-0.216649,-0.776006,-0.090536
1403636647.013556,-2.546296,5.905231,0.941481,-0.342166,0.609860,0.209405,0.572670,-0.284397,-0.751868,-0.160833
1403636648.263556,-2.780458,6.729550,0.994184,0.059172,0.496804,-0.256436,0.555898,-0.346787,-0.728877,-0.198634
1403636648.813555,-2.726168,6.931170,0.862305,0.209107,0.379716,-0.128912,0.508445,-0.440943,-0.692483,-0.259908
1403636649.863556,-2.555345,7.412429,1.174966,0.252310,0.297506,0.294105,0.517442,-0.444113,-0.677264,-0.276231
