timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636624.463556,-0.109700,0.063343,-0.006235,0.051134,0.051023,-0.012354,0.586008,0.017624,-0.808557,0.050184
1403636624.713556,-0.093522,0.084191,-0.007500,0.083595,0.110039,-0.027089,0.580824,0.019439,-0.812863,0.038985
1403636624.813555,-0.083855,0.097512,-0.007854,0.121636,0.141835,0.012201,0.580478,0.025680,-0.813284,0.030879
1403636625.063556,-0.048666,0.132785,0.021848,0.135677,0.098879,0.231353,0.556725,0.045812,-0.829410,0.006184
1403636625.213556,-0.032350,0.142342,0.061820,0.075054,0.036326,0.297614,0.551534,0.042662,-0.832947,0.013751
1403636625.363556,-0.026899,0.145732,0.095407,0.013430,0.014994,0.071879,0.560488,0.039453,-0.826931,0.021938
1403636625.813555,-0.061516,0.135738,0.121319,-0.170504,-0.060800,0.358866,0.566532,0.042379,-0.822638,0.022626
1403636625.963556,-0.085573,0.125098,0.188733,-0.154641,-0.076302,0.504730,0.575932,0.041105,-0.816031,0.026564
1403636626.163556,-0.111963,0.109187,0.285184,-0.112524,-0.069647,0.438006,0.577031,0.032538,-0.815087,0.040138
1403636626.463556,-0.140039,0.102656,0.359164,-0.078349,0.031402,0.086076,0.580989,0.030603,-0.812138,0.044114
1403636627.813555,-0.079477,0.239249,0.387755,0.026640,0.095634,-0.109315,0.559246,0.019497,-0.828484,0.021857
1403636628.413556,-0.152191,0.290127,0.449367,-0.179953,0.121448,0.225054,0.577951,-0.017953,-0.815825,0.008928
1403636629.513556,-0.334826,0.585683,0.510157,-0.191371,0.340782,-0.014768,0.569749,-0.069907,-0.818436,-0.025714
1403636629.863556,-0.405100,0.732000,0.462605,-0.243658,0.464069,-0.202068,0.548921,-0.121075,-0.824324,-0.067212
1403636630.313555,-0.534634,0.941367,0.449385,-0.301525,0.470986,0.103773,0.562695,-0.160794,-0.803988,-0.105463
1403636630.963556,-0.759192,1.221720,0.534511,-0.384569,0.405505,0.013501,0.557479,-0.153347,-0.809523,-0.101857
1403636632.263556,-1.249198,1.712039,0.440831,-0.412844,0.266956,0.002728,0.565612,-0.135101,-0.806578,-0.106126
1403636633.963556,-2.058193,2.111592,0.280440,-0.638369,0.263852,-0.000226,0.558144,-0.062469,-0.827161,-0.019423
1403636635.313555,-2.983061,2.540518,0.303216,-0.679880,0.238646,-0.048980,0.561818,-0.013780,-0.827080,-0.010402
1403636635.813555,-3.340450,2.674383,0.338821,-0.761833,0.317492,0.225815,0.568967,-0.025096,-0.821961,0.005280
1403636636.163556,-3.609266,2.810570,0.429610,-0.795153,0.437636,0.277026,0.558706,-0.022834,-0.829049,-0.002087
1403636636.763556,-4.040562,3.055595,0.576722,-0.565497,0.311665,0.030844,0.593109,0.000109,-0.804356,-0.035108
1403636638.213556,-4.723968,3.204162,0.596840,-0.501964,0.050698,-0.099661,0.579912,-0.003166,-0.814660,-0.004564
1403636639.313555,-5.334415,3.373493,0.541919,-0.647525,0.333052,-0.186937,0.566415,-0.017806,-0.823569,0.024336
1403636639.713556,-5.597410,3.518360,0.443715,-0.637630,0.331929,-0.249563,0.573431,0.006722,-0.819178,-0.008915
1403636641.113555,-6.242560,3.874792,0.463252,-0.307191,0.177489,0.049637,0.577017,0.037971,-0.815646,0.018183
1403636644.313555,-6.831017,4.501511,0.536961,-0.529437,0.221288,-0.025501,0.560205,-0.022658,-0.828044,0.000168
1403636645.063556,-7.179123,4.776546,0.349935,-0.369696,0.415735,-0.236959,0.562654,-0.018694,-0.826347,-0.014890
1403636645.863556,-7.663138,5.105344,0.304405,-0.820832,0.397851,0.119363,0.552489,-0.022385,-0.833065,-0.016009
1403636646.313555,-8.047548,5.302292,0.414525,-0.823085,0.511987,0.199145,0.575148,-0.087181,-0.812669,-0.034242
1403636647.013556,-8.496728,5.677993,0.572672,-0.486271,0.488470,0.294719,0.574867,-0.156729,-0.795967,-0.106777
1403636648.263556,-8.908414,6.320382,0.665333,-0.081439,0.558542,-0.162745,0.564453,-0.222184,-0.781158,-0.147712
1403636648.813555,-8.896839,6.600014,0.570354,0.076318,0.459848,-0.051464,0.530048,-0.318154,-0.755917,-0.215447
1403636649.863556,-8.869127,7.096036,0.905370,0.107597,0.374738,0.351283,0.543319,-0.321511,-0.741295,-0.227853
1403636650.863556,-8.623340,7.337169,0.902209,0.313952,0.140034,-0.027526,0.485391,-0.441818,-0.688531,-0.308411
1403636652.213556,-8.118390,7.353914,0.931124,0.613442,-0.139619,-0.223987,0.468634,-0.500435,-0.638515,-0.349636
