timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636624.463556,3.955801,-1.690869,0.628561,0.062761,0.033790,-0.017028,0.605264,-0.111746,-0.788001,-0.014848
1403636624.713556,3.975766,-1.674124,0.626250,0.106648,0.086616,-0.032005,0.598646,-0.110438,-0.792958,-0.025372
1403636624.813555,3.988958,-1.663390,0.624682,0.153384,0.106921,0.001878,0.596862,-0.104348,-0.794815,-0.033696
1403636625.063556,4.036038,-1.639121,0.652090,0.169684,0.061806,0.211779,0.569941,-0.086973,-0.815208,-0.055133
1403636625.213556,4.055616,-1.633901,0.690442,0.093437,0.025150,0.286618,0.565793,-0.090999,-0.818178,-0.046720
1403636625.363556,4.061288,-1.631783,0.721590,0.008638,0.009346,0.052366,0.575024,-0.093555,-0.811774,-0.040218
1403636625.813555,4.035510,-1.632416,0.748417,-0.161023,-0.006743,0.360703,0.582318,-0.088740,-0.807171,-0.038816
1403636625.963556,4.013957,-1.631217,0.814623,-0.143468,-0.012542,0.497955,0.593046,-0.089139,-0.799396,-0.036277
1403636626.163556,3.982434,-1.628777,0.906579,-0.115082,-0.008768,0.425256,0.598830,-0.096311,-0.794725,-0.023236
1403636626.463556,3.956374,-1.614639,0.969829,-0.053578,0.070419,0.062604,0.601482,-0.097249,-0.792698,-0.019762
1403636627.813555,4.060230,-1.511050,0.993531,0.084668,0.110699,-0.139732,0.576094,-0.110358,-0.808892,-0.040368
1403636628.413556,4.043526,-1.430225,1.046458,-0.065250,0.168535,0.205954,0.594157,-0.144578,-0.789426,-0.053678
1403636629.513556,4.027619,-1.141132,1.114463,-0.007968,0.311574,-0.062085,0.579002,-0.197576,-0.786259,-0.086700
1403636629.863556,4.016514,-0.983209,1.056945,-0.038302,0.441627,-0.251999,0.547600,-0.252968,-0.787966,-0.123495
1403636630.313555,3.964198,-0.805640,1.020559,-0.124117,0.458098,0.057353,0.557811,-0.288536,-0.761121,-0.162137
1403636630.963556,3.836335,-0.514063,1.074199,-0.227777,0.410596,-0.038155,0.550591,-0.279746,-0.770893,-0.155937
1403636632.263556,3.526925,0.110597,0.989373,-0.328605,0.349552,-0.039648,0.557619,-0.265024,-0.769606,-0.162880
1403636633.963556,2.817828,0.745245,0.826919,-0.576084,0.467797,-0.018881,0.566452,-0.195720,-0.796758,-0.077472
1403636635.313555,2.108603,1.387952,0.857774,-0.572220,0.428188,-0.063799,0.572735,-0.146799,-0.803443,-0.070024
1403636635.813555,1.866857,1.550513,0.900676,-0.603246,0.514594,0.217505,0.580799,-0.157751,-0.796662,-0.055835
1403636636.163556,1.698707,1.716410,0.997924,-0.594287,0.634979,0.259212,0.569385,-0.156010,-0.804708,-0.062509
1403636636.763556,1.387191,2.029123,1.147071,-0.442263,0.409510,0.013057,0.597921,-0.130282,-0.784428,-0.100937
1403636638.213556,0.773230,2.380673,1.209344,-0.472009,0.177751,-0.079575,0.590234,-0.134305,-0.793049,-0.068257
1403636639.313555,0.236248,2.700806,1.171933,-0.549185,0.486116,-0.197596,0.579655,-0.150448,-0.799966,-0.037685
1403636639.713556,0.004807,2.934528,1.081570,-0.569193,0.498313,-0.245584,0.584221,-0.125681,-0.798555,-0.072107
1403636641.113555,-0.599954,3.515857,1.049392,-0.306911,0.293720,0.004630,0.591460,-0.093955,-0.799506,-0.046219
1403636644.313555,-1.178149,4.243902,1.048905,-0.520335,0.382203,-0.077429,0.573295,-0.155621,-0.802179,-0.060193
1403636645.063556,-1.480975,4.640378,0.816832,-0.291953,0.525753,-0.315241,0.573216,-0.151452,-0.801817,-0.074661
1403636645.863556,-1.874896,5.078612,0.725104,-0.704695,0.625374,0.049275,0.563296,-0.154920,-0.808167,-0.074580
1403636646.313555,-2.240819,5.439240,0.783844,-0.675655,0.745297,0.103032,0.581720,-0.217043,-0.778062,-0.095463
1403636647.013556,-2.531394,5.874408,0.913208,-0.347866,0.600329,0.208270,0.568726,-0.283817,-0.753800,-0.166689
1403636648.263556,-2.758044,6.635859,0.942086,0.069169,0.525095,-0.253783,0.552558,-0.346938,-0.729490,-0.205322
1403636648.813555,-2.696591,6.946179,0.827678,0.214503,0.397547,-0.129137,0.505005,-0.439236,-0.694137,-0.264985
1403636649.863556,-2.493359,7.352276,1.121231,0.242062,0.296409,0.283693,0.514806,-0.441286,-0.679283,-0.280740
1403636650.863556,-2.173664,7.572903,1.109689,0.340659,0.017928,-0.061281,0.442976,-0.552284,-0.613020,-0.350658
1403636652.213556,-1.684943,7.470087,1.125959,0.527411,-0.359179,-0.265247,0.416798,-0.604434,-0.556769,-0.388520
1403636652.713556,-1.372350,7.333897,1.023901,0.541042,-0.278539,-0.082595,0.330877,-0.687005,-0.498689,-0.412135
1403636654.563556,-0.565433,7.185424,1.075393,0.349305,-0.289120,0.195040,0.323453,-0.690140,-0.460330,-0.455173
1403636655.663556,-0.241037,6.812176,1.057260,0.144818,-0.573147,-0.057774,0.279585,-0.736870,-0.382956,-0.481871
1403636655.963556,-0.165617,6.630739,0.985268,0.191348,-0.605842,-0.300270,0.250388,-0.765438,-0.346950,-0.480662
1403636656.513556,0.005525,6.359742,0.983931,0.366973,-0.506072,0.180128,0.216914,-0.781199,-0.322172,-0.488755
1403636657.413556,0.289741,5.955057,0.996239,0.256453,-0.637452,-0.048960,0.242118,-0.765916,-0.322642,-0.500652
1403636658.113555,0.557861,5.375028,0.903079,0.493739,-0.805317,-0.048965,0.232220,-0.783290,-0.314256,-0.483502
1403636658.463556,0.747170,5.140631,0.911626,0.559737,-0.711876,-0.120517,0.208635,-0.780487,-0.326135,-0.490865
1403636658.963556,1.044077,4.847320,0.829602,0.463875,-0.466300,-0.254149,0.200084,-0.768102,-0.331128,-0.510235
1403636659.663556,1.290855,4.495546,0.664064,0.263025,-0.389710,-0.174518,0.205608,-0.770400,-0.326632,-0.507466
1403636660.463556,1.396335,4.238517,0.404494,0.142801,-0.117689,-0.260374,0.183748,-0.793108,-0.330997,-0.477134
1403636661.613555,1.419111,4.402123,-0.020765,-0.250866,0.183850,-0.166929,0.207073,-0.767285,-0.320915,-0.515178
1403636663.113555,0.924298,4.455491,-0.072785,-0.188942,-0.011134,-0.141659,0.223743,-0.794865,-0.300729,-0.477170
1403636664.713556,0.903010,5.150686,-0.392261,-0.331800,0.739645,-0.234836,0.225768,-0.757445,-0.337269,-0.511425
1403636664.913556,0.828686,5.301811,-0.420896,-0.391151,0.717359,-0.101785,0.223700,-0.756339,-0.346616,-0.507707
1403636664.963556,0.815702,5.337520,-0.426852,-0.390019,0.724078,-0.057433,0.223394,-0.757640,-0.348333,-0.504719
1403636665.163556,0.759375,5.462774,-0.421606,-0.405232,0.704284,0.090571,0.222628,-0.765533,-0.353183,-0.489549
1403636665.563556,0.623646,5.789314,-0.393121,-0.352108,0.678310,0.110547,0.222078,-0.761004,-0.354411,-0.495931
1403636665.713556,0.581053,5.880252,-0.368888,-0.357569,0.704697,0.127161,0.213953,-0.760053,-0.357733,-0.498568
1403636665.863556,0.524762,5.995943,-0.345090,-0.401862,0.735763,0.141300,0.221516,-0.758016,-0.349279,-0.504329
1403636666.913556,0.099781,6.591950,-0.280790,-0.368512,0.435665,0.068821,0.232151,-0.777714,-0.346501,-0.470322
1403636667.063556,0.051687,6.660961,-0.277339,-0.252003,0.447257,0.030662,0.242109,-0.782865,-0.339808,-0.461558
1403636667.263556,0.028241,6.747057,-0.294176,-0.174253,0.435602,-0.064399,0.234005,-0.760048,-0.349341,-0.495510
1403636667.463556,-0.028403,6.822637,-0.315848,-0.250596,0.399270,-0.158215,0.228999,-0.755782,-0.355067,-0.500281
1403636667.963556,-0.147703,7.053524,-0.339469,-0.181038,0.426374,0.002917,0.237098,-0.771674,-0.347386,-0.477103
1403636669.163556,-0.331578,7.695570,-0.554097,-0.341753,0.642689,-0.060008,0.216587,-0.758849,-0.340709,-0.511034
1403636669.763556,-0.646461,8.181419,-0.660121,-0.588455,0.597996,-0.133969,0.230200,-0.743710,-0.333067,-0.531950
1403636670.213556,-0.859357,8.205711,-0.622365,-0.462571,0.095330,0.147305,0.288663,-0.766724,-0.300493,-0.488376
1403636670.913556,-0.952562,7.825228,-0.494380,0.327799,-0.957722,0.205315,0.385547,-0.729124,-0.362649,-0.433842
1403636671.313555,-0.697544,7.298091,-0.343116,1.036986,-1.552172,0.443838,0.420481,-0.669156,-0.463753,-0.400449
1403636671.663556,-0.322324,6.735858,-0.210638,1.104548,-1.494659,0.264947,0.368499,-0.638762,-0.563388,-0.372541
1403636672.113555,0.145418,6.201818,-0.087227,1.003591,-0.787536,0.389417,0.326844,-0.639330,-0.598879,-0.354646
1403636672.463556,0.428070,6.038861,0.054113,0.632983,-0.224001,0.227823,0.319284,-0.614992,-0.601529,-0.397499
1403636672.663556,0.530336,5.998804,0.067720,0.414399,-0.138043,-0.139794,0.366508,-0.608112,-0.569736,-0.413851
1403636675.513556,0.111083,6.873258,-0.311786,-0.418976,0.853252,0.004156,0.427606,-0.525388,-0.652931,-0.338825
1403636676.013556,-0.165397,7.269652,-0.390859,-0.586305,0.673545,-0.292028,0.495810,-0.485559,-0.661951,-0.283242
1403636676.763556,-0.639110,7.717302,-0.559190,-0.757617,0.575827,0.009243,0.523869,-0.358609,-0.742163,-0.214836
1403636677.713556,-1.299131,8.114714,-0.635421,-0.610936,0.221980,0.014375,0.575123,-0.290531,-0.743336,-0.179665
1403636678.463556,-1.554395,8.205092,-0.570494,-0.343302,0.265171,0.099883,0.579983,-0.171283,-0.792064,-0.083159
1403636679.313555,-1.795882,8.266858,-0.536640,-0.288966,-0.139489,-0.055078,0.603585,0.000188,-0.797088,0.018288
1403636680.213556,-1.865602,8.183494,-0.342058,0.101252,-0.145369,0.341123,0.613284,0.099636,-0.782206,0.045922
1403636681.063556,-1.656773,7.813348,-0.250964,0.289202,-0.605135,-0.128945,0.573631,0.061056,-0.813483,0.073929
1403636681.563556,-1.526805,7.500077,-0.265278,0.202032,-0.602589,0.059397,0.600720,0.070286,-0.793628,0.065956
1403636682.063556,-1.420879,7.169157,-0.247650,0.295759,-0.659395,0.137488,0.602852,0.078033,-0.791000,0.069278
1403636682.463556,-1.289185,6.912592,-0.204275,0.282232,-0.622272,0.029429,0.585905,0.075187,-0.803404,0.074852
1403636683.063556,-1.086254,6.510907,-0.178962,0.370674,-0.655347,0.095249,0.608162,0.075184,-0.788171,0.057213
1403636683.763556,-0.801211,6.054413,-0.225610,0.423104,-0.653173,-0.128829,0.594857,0.074876,-0.796842,0.074707
1403636684.363556,-0.504433,5.630897,-0.184539,0.426321,-0.593208,0.175140,0.601368,0.082485,-0.790369,0.082891
1403636684.913556,-0.248195,5.340099,-0.192057,0.519169,-0.442923,-0.151800,0.606704,0.083027,-0.785575,0.088814
1403636685.413556,0.049414,5.072261,-0.196984,0.587841,-0.476536,0.078538,0.596732,0.088134,-0.794923,0.065117
1403636685.763556,0.234032,4.906231,-0.207675,0.560358,-0.532458,-0.117565,0.597734,0.082306,-0.794680,0.066506
1403636686.163556,0.434510,4.716976,-0.262595,0.541247,-0.545301,-0.039231,0.593558,0.077948,-0.797508,0.074795
1403636686.663556,0.655485,4.486616,-0.258781,0.416889,-0.473601,-0.071210,0.586426,0.076767,-0.802673,0.076982
1403636687.363556,0.940598,4.164932,-0.241137,0.356720,-0.382713,0.023281,0.597601,0.077891,-0.793774,0.082032
1403636687.763556,1.081047,4.016437,-0.286728,0.363436,-0.346348,-0.246613,0.601335,0.077786,-0.790421,0.087055
1403636688.263556,1.272162,3.850721,-0.435394,0.398325,-0.330699,-0.217863,0.600972,0.086555,-0.790870,0.076594
1403636688.663556,1.421040,3.728175,-0.531261,0.395039,-0.352957,-0.304263,0.597829,0.093712,-0.793268,0.067413
1403636689.013556,1.561906,3.579808,-0.622979,0.384918,-0.460960,-0.115057,0.590853,0.102923,-0.796065,0.081114
1403636689.613555,1.797683,3.272322,-0.584563,0.293558,-0.427489,0.303124,0.576744,0.117520,-0.801247,0.107511
1403636690.713556,1.678591,2.963958,-0.376683,-0.418682,-0.146271,0.054398,0.574276,0.090860,-0.802828,0.131979
