timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636897.201667,4.678029,-2.594294,0.658448,0.020854,0.025941,-0.004586,0.614140,-0.027045,-0.788050,0.032823
1403636897.451667,4.702012,-2.585864,0.655525,0.141283,0.074298,-0.007393,0.606010,-0.033244,-0.794371,0.024888
1403636897.551666,4.712309,-2.573347,0.654716,0.140916,0.112011,0.006284,0.598501,-0.035893,-0.800126,0.017513
1403636897.651666,4.728458,-2.563098,0.656134,0.166269,0.127047,0.044121,0.585061,-0.036150,-0.810135,0.008822
1403636897.701667,4.737092,-2.557707,0.659467,0.160352,0.132234,0.079347,0.577026,-0.035046,-0.815962,0.004212
1403636897.851666,4.759557,-2.540209,0.680608,0.125671,0.116152,0.191087,0.560040,-0.031014,-0.827881,-0.002287
1403636897.951667,4.767545,-2.528183,0.700309,0.049843,0.109647,0.230271,0.558416,-0.028533,-0.829057,-0.004564
1403636898.151666,4.773239,-2.516815,0.730165,0.002928,0.071123,0.109593,0.575069,-0.024272,-0.817744,-0.000708
1403636898.501667,4.758447,-2.508911,0.790894,-0.070234,0.025658,0.212888,0.575340,-0.014858,-0.817744,0.007444
1403636898.901667,4.717064,-2.501253,0.863475,-0.150603,-0.001783,0.143870,0.573171,-0.010047,-0.819218,0.015977
1403636899.251667,4.653503,-2.485445,0.902374,-0.211504,0.109032,0.105252,0.585065,-0.039577,-0.809980,0.008149
1403636899.451667,4.618436,-2.461610,0.916403,-0.152288,0.142878,0.070751,0.595174,-0.077885,-0.799490,-0.022728
1403636899.651666,4.587840,-2.432459,0.923479,-0.115184,0.169255,0.049267,0.582914,-0.114154,-0.803845,-0.031854
1403636900.001667,4.542567,-2.357899,0.936829,-0.146993,0.257240,-0.007152,0.579201,-0.124611,-0.803617,-0.056557
1403636900.301667,4.508030,-2.278314,0.954671,-0.076603,0.243774,0.188198,0.589984,-0.118863,-0.796103,-0.063302
1403636901.051666,4.440049,-2.072680,1.007041,-0.155556,0.336692,-0.079862,0.577868,-0.118759,-0.806751,-0.033412
1403636901.701667,4.321548,-1.775202,0.990847,-0.160322,0.506402,-0.051522,0.588027,-0.108346,-0.799954,-0.050554
1403636902.851666,4.173814,-1.123588,0.799140,-0.120662,0.483146,-0.082576,0.587442,-0.111942,-0.799196,-0.060548
1403636904.451667,3.915241,-0.409386,1.144659,0.021937,0.475041,0.173838,0.592751,-0.110679,-0.796714,-0.040547
1403636905.801667,3.596793,0.283911,1.245912,-0.280278,0.351230,-0.023282,0.571227,-0.097255,-0.812935,-0.058090
1403636907.651666,2.741773,0.831037,1.274469,-0.528589,0.342251,0.158620,0.566079,-0.096535,-0.818285,-0.025396
1403636908.651666,2.267765,1.262287,1.279134,-0.575655,0.408073,-0.062102,0.578021,-0.072338,-0.812206,-0.031339
1403636909.501667,1.727695,1.622023,1.372942,-0.752669,0.500026,-0.027482,0.573117,-0.076097,-0.815547,-0.025000
1403636910.651666,0.914882,2.112258,1.227544,-0.622260,0.296823,-0.033264,0.578680,-0.069571,-0.811874,-0.033933
1403636911.901667,0.208233,2.483744,1.236762,-0.457102,0.242938,-0.089564,0.579029,-0.079476,-0.811170,-0.020339
1403636913.151666,-0.425456,2.927724,1.096524,-0.411459,0.508579,-0.199919,0.590900,-0.079933,-0.802177,-0.031019
1403636914.751667,-1.098124,3.829614,1.084039,-0.285357,0.508160,0.183928,0.583895,-0.078474,-0.806960,-0.041501
