timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403636897.201667,4.720350,-2.608621,0.610958,0.020813,0.025929,-0.004834,0.617376,-0.027759,-0.785439,0.034082
1403636897.451667,4.736969,-2.589706,0.608936,0.120107,0.124062,0.000816,0.608530,-0.034786,-0.792330,0.026324
1403636897.551666,4.749433,-2.576130,0.608222,0.135258,0.148621,0.020455,0.603005,-0.037243,-0.796631,0.019422
1403636897.651666,4.764756,-2.560785,0.611089,0.167189,0.171481,0.063306,0.590477,-0.037397,-0.806113,0.010987
1403636897.701667,4.773017,-2.552120,0.614998,0.163941,0.183764,0.095468,0.582164,-0.036393,-0.812231,0.006352
1403636897.851666,4.795929,-2.525316,0.637613,0.130391,0.184211,0.207445,0.564127,-0.032630,-0.825041,-0.001235
1403636897.951667,4.805879,-2.507457,0.661369,0.061282,0.179577,0.260290,0.562632,-0.030346,-0.826147,-0.002478
1403636898.151666,4.811703,-2.474442,0.698532,0.012165,0.166913,0.149323,0.579445,-0.027184,-0.814557,0.001667
1403636898.501667,4.807424,-2.418738,0.769529,-0.042141,0.154828,0.256706,0.582659,-0.017594,-0.812479,0.008723
1403636898.901667,4.781021,-2.359882,0.864280,-0.099617,0.134739,0.195040,0.580297,-0.012610,-0.814124,0.017258
1403636899.251667,4.736358,-2.290954,0.922307,-0.145484,0.261939,0.150836,0.586896,-0.041130,-0.808533,0.011709
1403636899.451667,4.712679,-2.231625,0.949430,-0.095008,0.314562,0.118700,0.595170,-0.079147,-0.799467,-0.018966
1403636899.651666,4.700644,-2.167131,0.968714,-0.060586,0.347302,0.088140,0.581684,-0.114369,-0.804820,-0.028780
1403636900.001667,4.670938,-2.021812,0.991884,-0.123393,0.446717,0.034482,0.580899,-0.125471,-0.802353,-0.055167
1403636900.301667,4.641223,-1.887467,1.025000,-0.058761,0.427975,0.231175,0.593216,-0.119049,-0.793798,-0.061699
1403636901.051666,4.581375,-1.567995,1.169982,-0.151174,0.478328,-0.034613,0.572243,-0.119791,-0.810739,-0.029817
