timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403637139.288319,-0.016210,0.051145,0.066896,-0.033072,-0.022612,-0.396324,0.559061,-0.113138,-0.819866,-0.049712
1403637139.388319,-0.019884,0.049605,0.038647,-0.038498,-0.010333,-0.198246,0.557480,-0.107432,-0.821717,-0.049466
1403637139.588319,-0.025626,0.045082,0.016759,-0.029715,-0.026812,-0.068767,0.564781,-0.095246,-0.818747,-0.040036
1403637139.888319,-0.029502,0.044120,-0.001453,0.008682,0.033046,-0.016157,0.580404,-0.089252,-0.808518,-0.038427
1403637140.138319,-0.022324,0.049258,-0.002989,0.042254,0.006267,0.022337,0.600474,-0.103680,-0.791618,-0.044863
1403637140.588319,-0.014239,0.056926,-0.005449,0.005589,0.004531,-0.009266,0.602450,-0.111454,-0.789114,-0.043931
1403637149.788319,-0.004500,0.054340,-0.004133,-0.014968,0.013872,0.008638,0.589914,-0.089556,-0.801898,-0.030562
1403637150.088319,-0.004055,0.082036,0.008325,-0.007642,0.171235,0.144556,0.544487,-0.080205,-0.833741,-0.044329
1403637150.138319,-0.005638,0.090999,0.016455,-0.056323,0.185953,0.180242,0.539245,-0.078447,-0.836984,-0.049789
1403637150.238319,-0.014639,0.111021,0.038421,-0.136339,0.205495,0.255954,0.537964,-0.078703,-0.837259,-0.058132
1403637150.338319,-0.031949,0.131926,0.066459,-0.210005,0.214136,0.303671,0.544259,-0.081456,-0.832591,-0.062806
1403637150.388319,-0.043342,0.142523,0.081848,-0.241133,0.213015,0.312282,0.551533,-0.083933,-0.827525,-0.062970
1403637150.538319,-0.081525,0.175417,0.126281,-0.263905,0.224222,0.283665,0.563130,-0.088993,-0.818861,-0.066475
1403637150.638319,-0.108599,0.197774,0.153279,-0.277633,0.223690,0.264900,0.565105,-0.091437,-0.817092,-0.068246
1403637150.888319,-0.180290,0.252976,0.212456,-0.296361,0.209331,0.216000,0.569290,-0.092911,-0.813533,-0.073707
1403637151.338319,-0.293133,0.328202,0.287690,-0.182050,0.123528,0.246660,0.577126,-0.092109,-0.808565,-0.068248
1403637151.838319,-0.376854,0.402825,0.433090,-0.171135,0.169032,0.185126,0.568103,-0.088102,-0.815780,-0.063218
1403637152.988319,-0.601187,0.640012,0.525413,-0.160895,0.250494,0.133415,0.574869,-0.088866,-0.811267,-0.058776
1403637154.188319,-0.782402,0.910274,0.628002,-0.161513,0.177400,-0.094804,0.562023,-0.094352,-0.819912,-0.054333
1403637154.988319,-0.978886,1.181111,0.536679,-0.370749,0.397320,-0.010477,0.543235,-0.116948,-0.826731,-0.087950
1403637156.088319,-1.447142,1.660883,0.564601,-0.295854,0.551871,-0.179541,0.551920,-0.265504,-0.774425,-0.158627
1403637156.788319,-1.506858,2.119302,0.435881,0.126832,0.705891,-0.303393,0.514291,-0.408826,-0.705801,-0.264889
1403637158.038319,-1.232004,3.150532,0.214157,0.444348,1.003069,-0.026751,0.507508,-0.421334,-0.698186,-0.278173
1403637158.488319,-0.999426,3.590347,0.245263,0.611553,0.948638,0.057558,0.506886,-0.432457,-0.686107,-0.292082
1403637159.188319,-0.447964,4.211345,0.204555,0.887474,0.862457,-0.035707,0.466218,-0.507636,-0.645351,-0.329348
1403637159.788319,0.137833,4.742075,0.119681,1.023136,0.951280,-0.089388,0.462143,-0.495680,-0.657949,-0.328371
1403637160.138319,0.500503,5.079061,0.087471,1.040424,0.979897,-0.135972,0.452654,-0.525242,-0.628564,-0.352325
1403637160.438319,0.820144,5.359767,0.028899,1.096117,0.880743,-0.255969,0.421932,-0.577111,-0.577881,-0.393661
1403637160.838319,1.247581,5.698348,-0.081745,0.993355,0.844477,-0.190208,0.354992,-0.638891,-0.524210,-0.437038
1403637161.538319,1.953358,6.359328,0.022670,1.201808,0.945959,0.375090,0.370205,-0.664642,-0.488062,-0.427777
1403637161.988319,2.521343,6.754502,0.150933,1.256624,0.747026,0.179029,0.361791,-0.651322,-0.450341,-0.492017
1403637162.788319,3.477081,6.998833,0.160486,1.275082,-0.044120,0.051664,0.371613,-0.663292,-0.431379,-0.485653
1403637163.088319,3.859693,6.931405,0.149694,1.245714,-0.402112,-0.100400,0.327413,-0.684993,-0.386157,-0.523897
1403637163.338319,4.151851,6.799183,0.113604,1.061422,-0.649008,-0.183344,0.271774,-0.714546,-0.325736,-0.556289
1403637163.638319,4.432616,6.567135,0.050597,0.849071,-0.890994,-0.145213,0.237925,-0.760108,-0.259560,-0.546129
1403637164.088319,4.840580,6.096682,0.088237,1.017562,-1.217456,0.285253,0.240626,-0.781430,-0.228253,-0.528551
1403637164.338319,5.107569,5.763666,0.174062,1.090505,-1.427483,0.366745,0.229381,-0.772008,-0.245215,-0.539683
1403637164.788319,5.610228,5.081073,0.255701,1.186513,-1.607362,0.038023,0.231034,-0.771094,-0.263838,-0.531438
1403637165.038319,5.905308,4.669978,0.247321,1.178734,-1.649215,-0.088788,0.205362,-0.767319,-0.256490,-0.550691
1403637165.288319,6.187705,4.254587,0.220967,1.045521,-1.678896,-0.076465,0.172732,-0.774681,-0.216769,-0.568370
1403637165.438319,6.336816,4.003906,0.218981,0.968195,-1.650830,0.046940,0.148868,-0.792012,-0.194559,-0.559198
1403637165.838319,6.704958,3.383295,0.279162,0.866482,-1.406596,0.099705,0.090842,-0.800577,-0.188175,-0.561619
