timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403637139.288,4.618923,-1.731131,0.648225,-0.043103,-0.023380,-0.399935,0.552175,-0.211488,-0.799145,-0.108365
1403637139.388,4.614035,-1.731818,0.618674,-0.046704,0.003753,-0.208862,0.550894,-0.205896,-0.801552,-0.107877
1403637139.588,4.606804,-1.733205,0.594877,-0.032331,-0.011433,-0.074520,0.559375,-0.193428,-0.799839,-0.099724
1403637139.888,4.604165,-1.732290,0.576252,0.021428,0.022575,-0.013978,0.574631,-0.186833,-0.790407,-0.100744
1403637140.138,4.612791,-1.730695,0.575666,0.036499,-0.005860,0.023893,0.593848,-0.199226,-0.771816,-0.109334
1403637140.588,4.617742,-1.729333,0.573671,0.004708,-0.002747,-0.001513,0.595793,-0.207215,-0.768373,-0.108149
1403637149.788,4.620384,-1.729981,0.571728,-0.000627,0.016193,0.009521,0.582279,-0.185767,-0.786282,-0.090599
1403637150.088,4.631345,-1.706573,0.580872,0.041827,0.155321,0.129525,0.537017,-0.179148,-0.818356,-0.099062
1403637150.138,4.632479,-1.698200,0.588376,0.001404,0.180076,0.174972,0.531318,-0.177772,-0.821783,-0.103783
1403637150.238,4.629704,-1.678195,0.609143,-0.070441,0.213767,0.246263,0.529311,-0.178065,-0.821958,-0.111839
1403637150.338,4.619167,-1.655470,0.636207,-0.140863,0.239629,0.295151,0.535323,-0.180269,-0.816816,-0.117231
1403637150.388,4.611302,-1.643357,0.651186,-0.169990,0.244460,0.303863,0.542467,-0.182260,-0.811509,-0.118171
1403637150.538,4.584250,-1.605063,0.694695,-0.190429,0.260677,0.276788,0.553486,-0.186199,-0.802386,-0.123126
1403637150.638,4.564360,-1.578739,0.721497,-0.208047,0.265252,0.266824,0.555208,-0.188299,-0.800371,-0.125278
1403637150.888,4.508724,-1.512162,0.780764,-0.236014,0.257718,0.220807,0.559443,-0.188756,-0.796308,-0.131491
1403637151.338,4.417866,-1.416734,0.852720,-0.141413,0.157891,0.231374,0.568520,-0.186171,-0.791198,-0.127007
1403637151.838,4.361104,-1.325528,0.988884,-0.106451,0.203219,0.165013,0.560487,-0.183757,-0.798242,-0.122057
1403637152.988,4.210702,-1.058911,1.088663,-0.120923,0.273329,0.135897,0.567150,-0.183280,-0.794316,-0.117524
1403637154.188,4.060969,-0.752899,1.182971,-0.136506,0.214248,-0.109541,0.555804,-0.189633,-0.801811,-0.110552
1403637154.988,3.917765,-0.460993,1.072809,-0.288849,0.428569,-0.037898,0.534620,-0.210974,-0.805705,-0.143217
1403637156.088,3.557119,0.029998,1.086932,-0.177318,0.511021,-0.182719,0.534953,-0.354733,-0.736284,-0.214187
1403637156.788,3.579143,0.442258,0.952925,0.231549,0.627960,-0.304565,0.485945,-0.488753,-0.653186,-0.313594
1403637158.038,4.053861,1.391095,0.742051,0.607417,0.892147,-0.008706,0.478791,-0.495865,-0.647520,-0.324955
1403637158.488,4.358543,1.778466,0.783505,0.755135,0.823207,0.081105,0.471114,-0.510442,-0.632175,-0.343302
1403637159.188,4.993614,2.305115,0.752519,0.985743,0.725376,-0.033465,0.426210,-0.580733,-0.580845,-0.379094
1403637159.788,5.641526,2.746249,0.670270,1.133571,0.786982,-0.076900,0.421906,-0.570240,-0.593740,-0.379862
1403637160.138,6.036301,3.016201,0.644040,1.113276,0.776185,-0.108807,0.409506,-0.596819,-0.559951,-0.403195
1403637160.438,6.373029,3.236582,0.592236,1.134237,0.684682,-0.233571,0.373786,-0.642721,-0.502846,-0.440841
1403637160.838,6.819253,3.509307,0.485648,1.080994,0.723821,-0.199684,0.302482,-0.697892,-0.441896,-0.475582
1403637161.538,7.599219,4.072462,0.584746,1.278267,0.739994,0.369740,0.318932,-0.719330,-0.401726,-0.468480
1403637161.988,8.197610,4.370655,0.708951,1.300028,0.537616,0.173335,0.303019,-0.701780,-0.365082,-0.531499
1403637162.788,9.088617,4.430580,0.705413,1.162538,-0.279514,0.022833,0.313434,-0.711521,-0.343783,-0.526602
1403637163.088,9.430181,4.293400,0.685405,1.083723,-0.621901,-0.135499,0.264221,-0.728082,-0.295885,-0.559097
1403637163.338,9.676736,4.111639,0.641020,0.862977,-0.817733,-0.218932,0.204959,-0.750373,-0.232169,-0.584175
1403637163.638,9.910403,3.844850,0.562730,0.653329,-0.990950,-0.185699,0.172755,-0.787426,-0.161261,-0.569308
1403637164.088,10.220941,3.323764,0.580808,0.774725,-1.355898,0.241280,0.177582,-0.803937,-0.127945,-0.552979
1403637164.338,10.421615,2.952202,0.655016,0.809981,-1.586498,0.315009,0.164809,-0.796623,-0.146075,-0.562954
1403637164.788,10.792632,2.201281,0.730267,0.884521,-1.786782,0.019730,0.167068,-0.797296,-0.164690,-0.556151
1403637165.038,11.011256,1.743168,0.721589,0.871957,-1.843279,-0.098961,0.139014,-0.792620,-0.157442,-0.572404
1403637165.288,11.218306,1.278715,0.693333,0.750284,-1.864731,-0.084075,0.104195,-0.795040,-0.116927,-0.585990
1403637165.438,11.324913,1.001180,0.689653,0.696265,-1.828234,0.038195,0.081740,-0.809365,-0.092963,-0.574113
1403637165.838,11.596608,0.307382,0.745262,0.664369,-1.588853,0.089169,0.023722,-0.816549,-0.086008,-0.570378
1403637166.138,11.792783,-0.110594,0.733039,0.641972,-1.199660,-0.241681,0.010428,-0.812233,-0.120878,-0.570638
1403637166.338,11.916544,-0.322021,0.669199,0.574725,-0.906364,-0.277961,0.026395,-0.799095,-0.130871,-0.586281
1403637166.638,12.030490,-0.549890,0.599942,0.147256,-0.652305,-0.205541,0.056687,-0.780514,-0.144647,-0.605688
1403637166.938,12.046164,-0.701066,0.531975,-0.013698,-0.300788,-0.247516,0.027382,-0.795972,-0.180685,-0.577331
1403637167.538,11.783440,-0.505225,0.484347,-0.810783,0.918001,-0.087849,0.040058,-0.792000,-0.178348,-0.582894
1403637167.738,11.616640,-0.306411,0.460451,-0.844077,1.039847,-0.177502,0.087996,-0.805673,-0.150629,-0.566568
1403637167.988,11.412563,-0.041389,0.414949,-0.757362,1.082019,-0.109764,0.100409,-0.812353,-0.175144,-0.547629
1403637168.588,10.930566,0.685598,0.273274,-0.755265,1.200978,-0.496833,0.124635,-0.787265,-0.189963,-0.573257
1403637168.988,10.621244,1.168448,0.124498,-0.771099,1.224584,-0.349892,0.110951,-0.796551,-0.195890,-0.561091
1403637169.288,10.387528,1.560575,0.037025,-0.816836,1.401120,-0.169082,0.113578,-0.784943,-0.220521,-0.567763
1403637169.538,10.166845,1.923794,0.018618,-0.948357,1.497120,0.016786,0.154100,-0.762801,-0.270240,-0.566969
1403637169.788,9.908191,2.300728,0.029985,-1.126820,1.505520,0.009087,0.201528,-0.728547,-0.339242,-0.560167
1403637170.138,9.469617,2.823091,-0.014099,-1.424702,1.481525,-0.215899,0.249413,-0.683529,-0.419102,-0.543080
1403637170.388,9.080251,3.188359,-0.084404,-1.699714,1.438721,-0.334580,0.294223,-0.649464,-0.462581,-0.526924
1403637170.588,8.723566,3.463417,-0.155663,-1.847011,1.288384,-0.392878,0.365435,-0.616755,-0.479153,-0.506444
1403637170.788,8.350002,3.690565,-0.241024,-1.890241,0.966565,-0.444201,0.419795,-0.575711,-0.506738,-0.485331
1403637171.088,7.788903,3.900216,-0.336608,-1.826303,0.483941,-0.201295,0.459406,-0.527761,-0.578213,-0.419627
1403637171.238,7.523237,3.958636,-0.357641,-1.721807,0.299815,-0.066451,0.474720,-0.507125,-0.601372,-0.394736
1403637171.388,7.273819,3.991737,-0.357503,-1.613309,0.129503,0.060181,0.483857,-0.486703,-0.613595,-0.390527
