timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
1403638147.895097,0.017806,-0.043889,0.014500,-0.064721,0.016318,0.077492,0.554908,-0.092614,-0.824224,-0.064454
1403638147.945097,0.014639,-0.042933,0.019423,-0.081950,0.017684,0.115157,0.560054,-0.093462,-0.820545,-0.065646
1403638147.995097,0.011942,-0.041831,0.025822,-0.071208,0.016164,0.139759,0.564136,-0.094455,-0.817651,-0.065383
1403638148.045097,0.007995,-0.040494,0.033865,-0.081890,0.026396,0.177045,0.567980,-0.093721,-0.814953,-0.066832
1403638148.195097,-0.005446,-0.036463,0.070570,-0.081518,0.026628,0.330605,0.575598,-0.090368,-0.809949,-0.067105
1403638148.295097,-0.012250,-0.034394,0.113636,-0.069561,0.017400,0.493875,0.576475,-0.087327,-0.809802,-0.065352
1403638148.395097,-0.024362,-0.032836,0.164330,-0.067472,0.008754,0.463808,0.577260,-0.084654,-0.809683,-0.063385
1403638149.145097,-0.127452,-0.034247,0.259560,-0.223995,-0.037087,0.318002,0.567835,-0.071340,-0.818110,-0.056313
1403638150.895097,-0.618819,-0.313157,0.387268,-0.446201,-0.389644,0.104129,0.559726,-0.011548,-0.828323,-0.021311
1403638151.345097,-0.849976,-0.520569,0.394466,-0.470257,-0.524074,-0.100009,0.568400,0.056506,-0.820593,0.018857
1403638152.395097,-1.327550,-1.152210,0.536830,-0.477646,-0.720395,0.008471,0.561071,0.137111,-0.813615,0.066565
1403638153.345097,-1.718230,-1.933210,0.600511,-0.532868,-0.909912,0.094325,0.546417,0.189045,-0.807614,0.115972
1403638154.095097,-2.107690,-2.699880,0.699214,-0.545121,-1.145270,-0.042615,0.542684,0.276555,-0.774409,0.171179
1403638155.045097,-2.426720,-3.821240,0.697652,-0.096752,-1.162590,0.231694,0.546368,0.312066,-0.754350,0.187223
1403638155.695097,-2.255230,-4.274810,0.736600,0.282036,-1.033080,-0.091850,0.544073,0.361965,-0.714654,0.249470
1403638156.245097,-2.052620,-4.759950,0.699054,0.396587,-0.862194,0.103359,0.470827,0.459240,-0.683628,0.316342
1403638157.245097,-1.729240,-5.744990,0.652472,0.107214,-1.140720,0.047519,0.439193,0.489667,-0.679559,0.324862
1403638158.245097,-1.655940,-6.809820,0.738221,0.098689,-1.185620,0.041068,0.411634,0.562394,-0.599881,0.392955
1403638159.595097,-1.546690,-8.349950,0.791407,-0.029046,-1.210100,0.176309,0.417251,0.535978,-0.597735,0.425842
1403638160.695097,-1.855990,-9.279420,1.387480,-0.331763,-0.710112,0.650304,0.404935,0.568477,-0.602578,0.386990
1403638161.295097,-2.139150,-9.664530,1.709460,-0.546753,-0.499511,0.456056,0.452765,0.492840,-0.641413,0.375103
1403638162.395097,-2.838250,-10.160600,2.019960,-0.804675,-0.372052,0.255957,0.468526,0.418948,-0.708399,0.321149
1403638163.545097,-3.967560,-10.435600,2.323480,-1.074550,-0.027337,0.078607,0.513568,0.363460,-0.726804,0.275501
1403638164.245097,-4.719550,-10.432800,2.569110,-1.061360,0.160644,0.483249,0.512162,0.342123,-0.736778,0.278927
1403638164.845097,-5.454720,-10.258300,2.781650,-1.205790,0.492076,0.209744,0.526295,0.338634,-0.732046,0.269164
1403638165.395097,-6.037640,-9.933820,2.806360,-1.038980,0.709962,-0.067807,0.519386,0.308398,-0.755005,0.255140
