timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.492424,0.251564,0.043586,-0.151828,2.506185,0.432928,0.999765,0.001393,-0.000098,0.021653
0.200000,5.469835,0.501844,0.086223,-0.297309,2.500003,0.418123,0.998938,0.001753,0.000380,0.046045
0.300000,5.433700,0.751610,0.126781,-0.421380,2.495743,0.390786,0.997661,0.002280,0.000923,0.068317
0.400000,5.386272,1.000776,0.163900,-0.525246,2.486125,0.348992,0.995854,0.002276,0.000745,0.090935
0.500000,5.329063,1.248618,0.196168,-0.617019,2.470432,0.295506,0.993714,0.002301,0.000922,0.111919
0.600000,5.262992,1.494556,0.222587,-0.704641,2.445624,0.230068,0.990794,0.001286,-0.000672,0.135370
0.700000,5.188096,1.737504,0.241809,-0.793323,2.413232,0.153630,0.987548,-0.000235,-0.000849,0.157313
0.800000,5.104312,1.977075,0.253162,-0.882594,2.376253,0.072399,0.983623,-0.000454,-0.001496,0.180232
0.900000,5.011490,2.212352,0.256214,-0.974552,2.328049,-0.011112,0.979269,-0.000787,-0.001359,0.202556
1.000000,4.909168,2.442388,0.251016,-1.073518,2.271120,-0.092659,0.974416,-0.000852,-0.001867,0.224744
1.100000,4.796555,2.666120,0.237868,-1.179064,2.200707,-0.167939,0.968222,-0.001585,-0.000808,0.250085
1.200000,4.673192,2.882307,0.217777,-1.289298,2.123740,-0.232670,0.962199,-0.001857,-0.000620,0.272342
1.300000,4.538777,3.091027,0.191575,-1.397877,2.051104,-0.290554,0.955416,-0.002372,-0.000986,0.295251
1.400000,4.393804,3.292721,0.159908,-1.500464,1.983976,-0.341399,0.948608,-0.003224,-0.000768,0.316437
1.500000,4.238908,3.487862,0.123587,-1.596455,1.917581,-0.383669,0.940667,-0.002982,-0.000755,0.339317
1.600000,4.074640,3.676045,0.083471,-1.689204,1.845322,-0.416736,0.932981,-0.001950,-0.000281,0.359921
1.700000,3.900969,3.856776,0.040619,-1.784028,1.767681,-0.437940,0.924492,-0.001256,0.000599,0.381199
