timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.496713,0.251749,0.041666,-0.075254,2.507243,0.399249,0.999741,-0.002426,0.002478,0.022475
0.200000,5.483167,0.501870,0.080076,-0.202720,2.496686,0.367876,0.998980,-0.002993,0.001559,0.045027
0.300000,5.455439,0.751224,0.115214,-0.351479,2.489790,0.335182,0.997608,-0.002314,0.001847,0.069069
0.400000,5.413079,0.999645,0.147043,-0.493883,2.477102,0.300387,0.995592,-0.000894,0.001069,0.093776
0.500000,5.357138,1.246623,0.175013,-0.622336,2.464218,0.257711,0.993291,0.000260,0.000289,0.115637
0.600000,5.289016,1.492456,0.198236,-0.737875,2.450710,0.204920,0.990398,0.002354,-0.000622,0.138227
0.700000,5.209889,1.736425,0.215778,-0.843951,2.426964,0.145338,0.987183,0.003079,-0.000681,0.159560
0.800000,5.120407,1.977483,0.227029,-0.945221,2.392759,0.078031,0.983307,0.002872,-0.001223,0.181926
0.900000,5.020951,2.214692,0.231241,-1.043205,2.351282,0.006495,0.979094,0.000968,-0.000450,0.203408
1.000000,4.911823,2.447547,0.228265,-1.139100,2.303558,-0.066799,0.974012,0.000279,-0.000838,0.226496
1.100000,4.793053,2.675033,0.217884,-1.236945,2.244848,-0.140300,0.968752,0.000121,-0.000464,0.248033
1.200000,4.664486,2.896205,0.200351,-1.333550,2.177314,-0.210068,0.962707,0.000362,-0.000696,0.270546
1.300000,4.526486,3.110315,0.176040,-1.425723,2.104877,-0.274496,0.956548,0.001028,-0.000506,0.291574
1.400000,4.379538,3.317142,0.145777,-1.511896,2.031293,-0.328816,0.949562,0.001839,-0.000481,0.313574
1.500000,4.224150,3.516356,0.110716,-1.596665,1.951412,-0.370062,0.941922,0.001550,-0.000636,0.335826
1.600000,4.059993,3.707199,0.072336,-1.687315,1.865407,-0.394654,0.934172,0.000437,-0.000535,0.356823
1.700000,3.886490,3.889249,0.032273,-1.783544,1.773375,-0.405056,0.925177,0.000031,-0.001572,0.379532
1.800000,3.702922,4.061649,-0.008373,-1.890507,1.674688,-0.406413,0.917133,0.000407,-0.002553,0.398573
1.900000,3.508614,4.224091,-0.048632,-1.991414,1.573364,-0.396104,0.905380,-0.000438,-0.001558,0.424600
2.000000,3.305184,4.376889,-0.087234,-2.077062,1.489245,-0.375351,0.898136,-0.000508,-0.002074,0.439712
2.100000,3.093975,4.522539,-0.123424,-2.140206,1.422790,-0.345955,0.884773,-0.000410,0.000196,0.466023
2.200000,2.877806,4.661837,-0.155960,-2.184454,1.368406,-0.303100,0.877867,-0.001082,0.001429,0.478901
