timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494184,0.252872,0.043540,-0.116262,2.525720,0.431670,0.999736,0.000000,0.000000,0.022998
0.200000,5.471879,0.555338,0.094098,-0.255259,2.512896,0.407952,0.998720,0.000000,0.000000,0.050578
0.300000,5.440586,0.805859,0.133314,-0.370341,2.495832,0.374459,0.997293,0.000000,0.000000,0.073534
0.400000,5.407291,1.004886,0.161912,-0.461854,2.478801,0.339388,0.995771,0.000000,0.000000,0.091870
0.500000,5.355411,1.251576,0.193274,-0.575370,2.453321,0.286325,0.993395,0.000000,0.000000,0.114747
0.600000,5.292240,1.495457,0.218880,-0.687595,2.422649,0.224537,0.990493,0.000000,0.000000,0.137562
0.700000,5.217919,1.736013,0.237949,-0.798290,2.386848,0.155907,0.987067,0.000000,0.000000,0.160305
0.800000,5.132614,1.972736,0.249900,-0.907222,2.345995,0.082527,0.983120,0.000000,0.000000,0.182964
0.900000,5.036511,2.205123,0.254368,-1.014160,2.300176,0.006633,0.978652,0.000000,0.000000,0.205525
1.000000,4.929822,2.432683,0.251219,-1.118878,2.249488,-0.069462,0.973666,0.000000,0.000000,0.227978
1.100000,4.812779,2.654935,0.240548,-1.221154,2.194038,-0.143438,0.968166,0.000000,0.000000,0.250310
1.200000,4.685639,2.871407,0.222680,-1.320773,2.133944,-0.213042,0.962153,0.000000,0.000000,0.272509
1.300000,4.548676,3.081642,0.198161,-1.417523,2.069333,-0.276151,0.955632,0.000000,0.000000,0.294565
1.400000,4.402189,3.285195,0.167737,-1.511199,2.000341,-0.330842,0.948604,0.000000,0.000000,0.316464
1.500000,4.246495,3.481634,0.132336,-1.601604,1.927114,-0.375449,0.941075,0.000000,0.000000,0.338197
1.600000,4.081931,3.670544,0.093036,-1.688545,1.849808,-0.408612,0.933049,0.000000,0.000000,0.359750
1.700000,3.908852,3.851525,0.051037,-1.771841,1.768586,-0.429320,0.924528,0.000000,0.000000,0.381113
1.800000,3.727632,4.024194,0.007618,-1.851313,1.683619,-0.436943,0.915519,0.000000,0.000000,0.402275
1.900000,3.538661,4.188185,-0.035898,-1.926793,1.595088,-0.431247,0.906025,0.000000,0.000000,0.423223
2.000000,3.342348,4.343151,-0.078184,-1.998124,1.503180,-0.412406,0.896052,0.000000,0.000000,0.443948
2.100000,3.139114,4.488764,-0.117952,-2.065152,1.408088,-0.380995,0.885606,0.000000,0.000000,0.464438
2.200000,2.929397,4.624715,-0.153988,-2.127737,1.310015,-0.337971,0.874690,0.000000,0.000000,0.484682
2.300000,2.713649,4.750717,-0.185195,-2.185745,1.209168,-0.284645,0.863312,0.000000,0.000000,0.504670
2.400000,2.492333,4.866502,-0.210622,-2.239055,1.105761,-0.222643,0.851477,0.000000,0.000000,0.524391
2.500000,2.265925,4.971827,-0.229493,-2.287554,1.000011,-0.153854,0.839192,0.000000,0.000000,0.543835
2.600000,2.034911,5.066466,-0.241233,-2.331139,0.892143,-0.080374,0.826463,0.000000,0.000000,0.562991
2.700000,1.799787,5.150221,-0.245484,-2.369717,0.782385,-0.004443,0.813297,0.000000,0.000000,0.581849
2.800000,1.561059,5.222914,-0.242117,-2.403207,0.670969,0.071624,0.799701,0.000000,0.000000,0.600399
2.900000,1.319238,5.284389,-0.231234,-2.431539,0.558130,0.145510,0.785681,0.000000,0.000000,0.618632
3.000000,1.074845,5.334518,-0.213166,-2.454652,0.444109,0.214963,0.771246,0.000000,0.000000,0.636537
3.100000,0.828403,5.373194,-0.188464,-2.472497,0.329145,0.277865,0.756403,0.000000,0.000000,0.654106
3.200000,0.580441,5.400335,-0.157881,-2.485037,0.213482,0.332300,0.741160,0.000000,0.000000,0.671329
3.300000,0.331491,5.415882,-0.122349,-2.492245,0.097365,0.376609,0.725525,0.000000,0.000000,0.688196
3.400000,0.082088,5.419804,-0.082950,-2.494106,-0.018961,0.409441,0.709506,0.000000,0.000000,0.704700
3.500000,-0.167233,5.412091,-0.040885,-2.490616,-0.135249,0.429796,0.693111,0.000000,0.000000,0.720831
3.600000,-0.415939,5.392759,0.002564,-2.481782,-0.251254,0.437053,0.676350,0.000000,0.000000,0.736580
3.700000,-0.663494,5.361850,0.046072,-2.467623,-0.366729,0.430992,0.659232,0.000000,0.000000,0.751940
3.800000,-0.909368,5.319427,0.088315,-2.448169,-0.481432,0.411796,0.641764,0.000000,0.000000,0.766902
3.900000,-1.153033,5.265582,0.128004,-2.423462,-0.595119,0.380051,0.623957,0.000000,0.000000,0.781459
4.000000,-1.393967,5.200426,0.163931,-2.393552,-0.707549,0.336725,0.605820,0.000000,0.000000,0.795602
4.100000,-1.678739,5.107511,0.200545,-2.350279,-0.840259,0.271327,0.583634,0.000000,0.000000,0.812017
4.200000,-1.911741,5.018032,0.224550,-2.308165,-0.948710,0.207606,0.564804,0.000000,0.000000,0.825225
4.300000,-2.140283,4.917806,0.241851,-2.261108,-1.055109,0.137559,0.545677,0.000000,0.000000,0.837996
4.400000,-2.363875,4.807051,0.251919,-2.209208,-1.159232,0.063321,0.526260,0.000000,0.000000,0.850324
4.500000,-2.582039,4.686005,0.254449,-2.152575,-1.260858,-0.012845,0.506565,0.000000,0.000000,0.862202
4.600000,-2.794307,4.554928,0.249364,-2.091330,-1.359772,-0.088619,0.486602,0.000000,0.000000,0.873624
4.700000,-3.000225,4.414103,0.236817,-2.025600,-1.455766,-0.161690,0.466382,0.000000,0.000000,0.884583
4.800000,-3.199349,4.263831,0.217193,-1.955526,-1.548635,-0.229832,0.445915,0.000000,0.000000,0.895075
4.900000,-3.391254,4.104436,0.191089,-1.881255,-1.638184,-0.290968,0.425212,0.000000,0.000000,0.905094
5.000000,-3.575528,3.936258,0.159302,-1.802945,-1.724223,-0.343235,0.404284,0.000000,0.000000,0.914633
5.100000,-3.751774,3.759657,0.122799,-1.720762,-1.806570,-0.385040,0.383143,0.000000,0.000000,0.923689
5.200000,-3.919613,3.575013,0.082693,-1.634879,-1.885051,-0.415108,0.361798,0.000000,0.000000,0.932256
5.300000,-4.078686,3.382720,0.040208,-1.545478,-1.959500,-0.432523,0.340263,0.000000,0.000000,0.940330
5.400000,-4.228649,3.183189,-0.003363,-1.452748,-2.029758,-0.436755,0.318547,0.000000,0.000000,0.947907
5.500000,-4.369179,2.976846,-0.046690,-1.356885,-2.095679,-0.427675,0.296663,0.000000,0.000000,0.954982
5.600000,-4.499973,2.764134,-0.088454,-1.258093,-2.157121,-0.405559,0.274622,0.000000,0.000000,0.961552
5.700000,-4.620749,2.545505,-0.127381,-1.156580,-2.213956,-0.371081,0.252435,0.000000,0.000000,0.967614
5.800000,-4.731244,2.321427,-0.162286,-1.052560,-2.266063,-0.325292,0.230115,0.000000,0.000000,0.973163
5.900000,-4.831220,2.092380,-0.192102,-0.946255,-2.313331,-0.269588,0.207674,0.000000,0.000000,0.978198
6.000000,-4.920458,1.858850,-0.215923,-0.837888,-2.355661,-0.205666,0.185122,0.000000,0.000000,0.982715
6.100000,-4.998764,1.621338,-0.233022,-0.727690,-2.392963,-0.135474,0.162473,0.000000,0.000000,0.986713
6.200000,-5.065967,1.380349,-0.242878,-0.615893,-2.425158,-0.061153,0.139738,0.000000,0.000000,0.990189
6.300000,-5.121918,1.136399,-0.245189,-0.502733,-2.452179,0.015034,0.116928,0.000000,0.000000,0.993140
6.400000,-5.166494,0.890008,-0.239886,-0.388451,-2.473967,0.090764,0.094057,0.000000,0.000000,0.995567
6.500000,-5.199593,0.641701,-0.227131,-0.273288,-2.490477,0.163729,0.071136,0.000000,0.000000,0.997467
6.600000,-5.221140,0.392008,-0.207310,-0.157487,-2.501674,0.231705,0.048178,0.000000,0.000000,0.998839
6.700000,-5.231083,0.141462,-0.181030,-0.041295,-2.507534,0.292621,0.025194,0.000000,0.000000,0.999683
6.800000,-5.229396,-0.109402,-0.149090,0.075045,-2.508045,0.344620,0.002196,0.000000,0.000000,0.999998
6.900000,-5.216076,-0.360051,-0.112463,0.191285,-2.503206,0.386118,0.020802,-0.000000,-0.000000,-0.999784
7.000000,-5.191145,-0.609948,-0.072267,0.307179,-2.493027,0.415848,0.043790,-0.000000,-0.000000,-0.999041
7.100000,-5.154651,-0.858560,-0.029725,0.422483,-2.477529,0.432907,0.066754,-0.000000,-0.000000,-0.997769
7.200000,-5.106664,-1.105358,0.013866,0.536952,-2.456746,0.436772,0.089683,-0.000000,-0.000000,-0.995970
