timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494166,0.252909,0.043541,-0.116617,2.527620,0.431798,0.999735,-0.000016,0.000012,0.023026
0.200000,5.476722,0.505343,0.085895,-0.232453,2.520436,0.413355,0.998940,0.000007,-0.000011,0.046037
0.300000,5.447684,0.756804,0.125792,-0.347980,2.507902,0.382579,0.997615,0.000012,-0.000008,0.069022
0.400000,5.407154,1.006714,0.161991,-0.462566,2.489208,0.339963,0.995765,0.000030,-0.000012,0.091931
0.500000,5.355185,1.254519,0.193414,-0.576554,2.465735,0.286744,0.993389,0.000058,-0.000005,0.114794
0.600000,5.291858,1.499682,0.219054,-0.689581,2.436804,0.224678,0.990484,0.000046,0.000008,0.137628
0.700000,5.217340,1.741676,0.238122,-0.800516,2.402493,0.155708,0.987060,0.000050,-0.000003,0.160349
0.800000,5.131811,1.980012,0.250056,-0.910021,2.363594,0.082495,0.983110,0.000051,0.000025,0.183017
0.900000,5.035397,2.214218,0.254517,-1.017927,2.319556,0.006559,0.978641,0.000059,0.000025,0.205575
1.000000,4.928296,2.443754,0.251360,-1.123720,2.270725,-0.069498,0.973653,0.000076,0.000039,0.228036
1.100000,4.810748,2.668175,0.240682,-1.226904,2.216850,-0.143408,0.968149,0.000074,0.000045,0.250377
1.200000,4.683009,2.886977,0.222783,-1.327592,2.158303,-0.213364,0.962132,0.000072,0.000074,0.272584
1.300000,4.545351,3.099690,0.198228,-1.425127,2.095437,-0.276485,0.955610,0.000074,0.000049,0.294634
1.400000,4.398063,3.305880,0.167793,-1.520063,2.027727,-0.330858,0.948584,0.000088,0.000043,0.316525
1.500000,4.241466,3.505080,0.132389,-1.611562,1.955816,-0.375606,0.941053,0.000083,0.000030,0.338260
1.600000,4.075855,3.696899,0.093097,-1.700025,1.879926,-0.408314,0.933021,0.000110,0.000004,0.359821
1.700000,3.901563,3.880919,0.051110,-1.785039,1.799852,-0.429146,0.924493,0.000107,0.000002,0.381199
1.800000,3.718987,4.056734,0.007694,-1.865877,1.715905,-0.437004,0.915494,0.000128,-0.000020,0.402332
1.900000,3.528516,4.223954,-0.035829,-1.942725,1.628162,-0.431121,0.905995,0.000103,-0.000001,0.423288
2.000000,3.330577,4.382229,-0.078118,-2.015561,1.536810,-0.412493,0.896007,0.000101,0.000009,0.444039
2.100000,3.125564,4.531249,-0.117879,-2.084242,1.443186,-0.380823,0.885558,0.000114,-0.000000,0.464529
2.200000,2.913860,4.670722,-0.153873,-2.148919,1.345732,-0.337270,0.874638,0.000120,0.000001,0.484776
2.300000,2.695924,4.800314,-0.185017,-2.209125,1.245679,-0.284030,0.863259,0.000086,-0.000006,0.504761
2.400000,2.472231,4.919756,-0.210345,-2.264099,1.142856,-0.221520,0.851420,0.000102,-0.000007,0.524484
2.500000,2.243271,5.028797,-0.229129,-2.314408,1.037812,-0.153118,0.839135,0.000103,-0.000007,0.543923
2.600000,2.009537,5.127208,-0.240800,-2.359851,0.930057,-0.080190,0.826406,0.000118,-0.000006,0.563075
2.700000,1.771486,5.214781,-0.245032,-2.400377,0.821083,-0.004221,0.813245,0.000086,-0.000031,0.581922
2.800000,1.529654,5.291344,-0.241652,-2.435467,0.710076,0.071622,0.799651,0.000078,-0.000033,0.600465
