timestamp,d_q,d_v,d_p
0.000000,0.000000,0.000000,0.000000
0.100000,0.000000,0.002085,0.000074
0.200000,0.009200,0.023852,0.050995
0.300000,0.009200,0.024790,0.050440
0.400000,0.000000,0.009873,0.001742
0.500000,0.000000,0.011730,0.002784
0.600000,0.000000,0.013495,0.004008
0.700000,0.000000,0.015158,0.005403
0.800000,0.000000,0.016720,0.006957
0.900000,0.000000,0.018187,0.008660
1.000000,0.000000,0.019571,0.010501
1.100000,0.000000,0.020892,0.012470
1.200000,0.000000,0.022172,0.014560
1.300000,0.000000,0.023434,0.016763
1.400000,0.000000,0.024701,0.019076
1.500000,0.000000,0.025995,0.021497
1.600000,0.000000,0.027329,0.024028
1.700000,0.000000,0.028711,0.026670
1.800000,0.000000,0.030142,0.029427
1.900000,0.000000,0.031616,0.032306
2.000000,0.000000,0.033121,0.035312
2.100000,0.000000,0.034642,0.038450
2.200000,0.000000,0.036161,0.041725
2.300000,0.000000,0.037660,0.045141
2.400000,0.000000,0.039123,0.048701
2.500000,0.000000,0.040537,0.052406
2.600000,0.000000,0.041893,0.056254
2.700000,0.000000,0.043187,0.060244
2.800000,0.000000,0.044419,0.064371
2.900000,0.000000,0.045594,0.068630
3.000000,0.000000,0.046721,0.073016
3.100000,0.000000,0.047811,0.077523
3.200000,0.000000,0.048875,0.082144
3.300000,0.000000,0.049924,0.086874
3.400000,0.000000,0.050969,0.091707
3.500000,0.000000,0.052017,0.096638
3.600000,0.000000,0.053070,0.101663
3.700000,0.000000,0.054129,0.106777
3.800000,0.000000,0.055188,0.111979
3.900000,0.000000,0.056240,0.117264
4.000000,0.000000,0.057276,0.122629
4.100000,0.009200,0.078719,0.124552
4.200000,0.009200,0.080359,0.131192
4.300000,0.009200,0.081973,0.137928
4.400000,0.009200,0.083555,0.144759
4.500000,0.009200,0.085099,0.151683
4.600000,0.009200,0.086603,0.158697
4.700000,0.009200,0.088069,0.165797
4.800000,0.009200,0.089497,0.172981
4.900000,0.009200,0.090893,0.180243
5.000000,0.009200,0.092261,0.187578
5.100000,0.009200,0.093606,0.194983
5.200000,0.009200,0.094932,0.202453
5.300000,0.009200,0.096241,0.209982
5.400000,0.009200,0.097535,0.217567
5.500000,0.009200,0.098812,0.225203
5.600000,0.009200,0.100069,0.232885
5.700000,0.009200,0.101300,0.240610
5.800000,0.009200,0.102500,0.248372
5.900000,0.009200,0.103662,0.256168
6.000000,0.009200,0.104778,0.263993
6.100000,0.009200,0.105842,0.271843
6.200000,0.009200,0.106850,0.279712
6.300000,0.009200,0.107799,0.287594
6.400000,0.009200,0.108687,0.295484
6.500000,0.009200,0.109515,0.303377
6.600000,0.009200,0.110286,0.311265
6.700000,0.009200,0.111003,0.319143
6.800000,0.009200,0.111672,0.327005
6.900000,0.009200,0.112297,0.334844
7.000000,0.009200,0.112882,0.342653
7.100000,0.009200,0.113431,0.350428
7.200000,0.009200,0.113946,0.358162
7.300000,0.009200,0.114427,0.365849
7.400000,0.009200,0.114871,0.373485
7.500000,0.009200,0.115276,0.381064
7.600000,0.009200,0.115638,0.388581
7.700000,0.009200,0.115949,0.396032
7.800000,0.009200,0.116206,0.403410
7.900000,0.009200,0.116404,0.410712
8.000000,0.009200,0.116537,0.417931
8.100000,0.009200,0.116605,0.425063
8.200000,0.009200,0.116606,0.432103
8.300000,0.009200,0.116542,0.439045
8.400000,0.009200,0.116415,0.445883
8.500000,0.009200,0.116230,0.452611
8.600000,0.009200,0.115992,0.459225
8.700000,0.009200,0.115705,0.465717
8.800000,0.009200,0.115376,0.472083
8.900000,0.009200,0.115008,0.478317
9.000000,0.009200,0.114604,0.484414
9.100000,0.009200,0.114165,0.490369
9.200000,0.009200,0.113691,0.496177
9.300000,0.009200,0.113178,0.501832
9.400000,0.009200,0.112624,0.507331
9.500000,0.009200,0.112023,0.512669
9.600000,0.009200,0.111371,0.517842
9.700000,0.009200,0.110663,0.522846
9.800000,0.009200,0.109896,0.527675
9.900000,0.009200,0.109067,0.532327
10.000000,0.009200,0.108177,0.536796
10.100000,0.009200,0.107227,0.541078
10.200000,0.009200,0.106221,0.545170
10.300000,0.009200,0.105163,0.549066
10.400000,0.009200,0.104061,0.552764
10.500000,0.009200,0.102920,0.556260
10.600000,0.009200,0.101748,0.559549
10.700000,0.009200,0.100550,0.562629
10.800000,0.009200,0.099331,0.565497
10.900000,0.009200,0.098093,0.568150
11.000000,0.009200,0.096836,0.570586
11.100000,0.009200,0.095559,0.572803
11.200000,0.009200,0.094260,0.574800
11.300000,0.009200,0.092932,0.576574
11.400000,0.009200,0.091572,0.578127
11.500000,0.009200,0.090175,0.579455
11.600000,0.009200,0.088738,0.580560
11.700000,0.009200,0.087258,0.581440
11.800000,0.009200,0.085735,0.582095
11.900000,0.009200,0.084173,0.582526
12.000000,0.009200,0.082577,0.582731
12.100000,0.009200,0.080954,0.582711
12.200000,0.009200,0.079314,0.582468
12.300000,0.009200,0.077666,0.582001
12.400000,0.009200,0.076021,0.581311
12.500000,0.009200,0.074389,0.580400
12.600000,0.009200,0.072777,0.579270
12.700000,0.009200,0.071191,0.577924
12.800000,0.009200,0.069635,0.576362
12.900000,0.009200,0.068109,0.574590
13.000000,0.009200,0.066610,0.572611
13.100000,0.009200,0.065135,0.570428
13.200000,0.009200,0.063679,0.568046
13.300000,0.009200,0.062238,0.565470
13.400000,0.009200,0.060810,0.562705
13.500000,0.009200,0.059393,0.559757
13.600000,0.009200,0.057991,0.556633
13.700000,0.009200,0.056611,0.553337
13.800000,0.009200,0.055264,0.549878
13.900000,0.009200,0.053964,0.546262
14.000000,0.009200,0.052728,0.542497
14.100000,0.009200,0.051576,0.538592
14.200000,0.009200,0.050527,0.534557
14.300000,0.009200,0.049599,0.530400
14.400000,0.009200,0.048804,0.526132
14.500000,0.009200,0.048154,0.521766
14.600000,0.009200,0.047651,0.517314
14.700000,0.009200,0.047295,0.512789
14.800000,0.009200,0.047078,0.508206
14.900000,0.009200,0.046992,0.503579
15.000000,0.009200,0.047024,0.498926
15.100000,0.009200,0.047162,0.494263
15.200000,0.009200,0.047396,0.489607
15.300000,0.009200,0.047719,0.484978
15.400000,0.009200,0.048128,0.480396
15.500000,0.009200,0.048622,0.475879
15.600000,0.009200,0.049205,0.471448
15.700000,0.009200,0.049884,0.467126
15.800000,0.009200,0.050663,0.462934
15.900000,0.009200,0.051549,0.458895
16.000000,0.009200,0.052544,0.455031
16.100000,0.009200,0.053649,0.451367
16.200000,0.009200,0.054859,0.447927
16.300000,0.009200,0.056166,0.444735
16.400000,0.009200,0.057556,0.441815
16.500000,0.009200,0.059017,0.439193
16.600000,0.009200,0.060531,0.436892
16.700000,0.009200,0.062082,0.434935
16.800000,0.009200,0.063654,0.433347
16.900000,0.009200,0.065235,0.432147
17.000000,0.009200,0.066815,0.431356
17.100000,0.009200,0.068386,0.430993
17.200000,0.009200,0.069945,0.431073
17.300000,0.009200,0.071493,0.431611
17.400000,0.009200,0.073031,0.432619
17.500000,0.009200,0.074565,0.434105
17.600000,0.009200,0.076098,0.436076
17.700000,0.009200,0.077635,0.438536
17.800000,0.009200,0.079181,0.441487
17.900000,0.009200,0.080735,0.444928
18.000000,0.009200,0.082298,0.448855
18.100000,0.009200,0.083867,0.453264
18.200000,0.009200,0.085436,0.458147
18.300000,0.009200,0.086997,0.463493
18.400000,0.009200,0.088542,0.469293
18.500000,0.009200,0.090063,0.475532
18.600000,0.009200,0.091551,0.482196
18.700000,0.009200,0.092998,0.489270
18.800000,0.009200,0.094399,0.496737
18.900000,0.009200,0.095751,0.504577
19.000000,0.009200,0.097052,0.512772
19.100000,0.009200,0.098304,0.521303
19.200000,0.009200,0.099510,0.530149
19.300000,0.009200,0.100673,0.539290
19.400000,0.009200,0.101798,0.548705
19.500000,0.009200,0.102890,0.558374
19.600000,0.009200,0.103954,0.568275
19.700000,0.009200,0.104991,0.578390
19.800000,0.009200,0.106002,0.588697
19.900000,0.009200,0.106987,0.599178
20.000000,0.009200,0.107942,0.609813
20.100000,0.009200,0.108864,0.620585
20.200000,0.009200,0.109745,0.631474
20.300000,0.009200,0.110580,0.642464
20.400000,0.009200,0.111364,0.653537
20.500000,0.009200,0.112089,0.664676
20.600000,0.009200,0.112754,0.675866
20.700000,0.009200,0.113354,0.687089
20.800000,0.009200,0.113890,0.698331
20.900000,0.009200,0.114362,0.709575
21.000000,0.009200,0.114775,0.720808
21.100000,0.009200,0.115131,0.732015
21.200000,0.009200,0.115437,0.743181
21.300000,0.009200,0.115696,0.754293
21.400000,0.009200,0.115913,0.765338
21.500000,0.009200,0.116092,0.776303
21.600000,0.009200,0.116235,0.787176
21.700000,0.009200,0.116340,0.797946
21.800000,0.009200,0.116408,0.808601
21.900000,0.009200,0.116434,0.819131
22.000000,0.009200,0.116414,0.829525
22.100000,0.009200,0.116344,0.839774
22.200000,0.009200,0.116218,0.849867
22.300000,0.009200,0.116031,0.859796
22.400000,0.009200,0.115781,0.869552
22.500000,0.009200,0.115464,0.879127
22.600000,0.009200,0.115082,0.888511
22.700000,0.009200,0.114636,0.897696
22.800000,0.009200,0.114130,0.906675
22.900000,0.009200,0.113567,0.915440
23.000000,0.009200,0.112954,0.923984
23.100000,0.009200,0.112297,0.932299
23.200000,0.009200,0.111600,0.940378
23.300000,0.009200,0.110869,0.948216
23.400000,0.009200,0.110106,0.955806
23.500000,0.009200,0.109312,0.963143
23.600000,0.009200,0.108487,0.970220
23.700000,0.009200,0.107629,0.977034
23.800000,0.009200,0.106732,0.983580
23.900000,0.009200,0.105794,0.989852
24.000000,0.009200,0.104808,0.995848
24.100000,0.009200,0.103772,1.001563
24.200000,0.009200,0.102680,1.006995
24.300000,0.009200,0.101533,1.012139
24.400000,0.009200,0.100329,1.016993
24.500000,0.009200,0.099072,1.021555
24.600000,0.009200,0.097767,1.025822
24.700000,0.009200,0.096418,1.029792
24.800000,0.009200,0.095034,1.033463
24.900000,0.009200,0.093622,1.036834
25.000000,0.009200,0.092190,1.039905
25.100000,0.009200,0.090744,1.042674
25.200000,0.009200,0.089290,1.045142
25.300000,0.009200,0.087830,1.047309
25.400000,0.009200,0.086366,1.049176
25.500000,0.009200,0.084895,1.050744
25.600000,0.009200,0.083414,1.052016
25.700000,0.009200,0.081919,1.052993
25.800000,0.009200,0.080405,1.053678
25.900000,0.009200,0.078867,1.054075
26.000000,0.009200,0.077303,1.054186
26.100000,0.009200,0.075710,1.054016
26.200000,0.009200,0.074091,1.053568
26.300000,0.009200,0.072450,1.052848
26.400000,0.009200,0.070794,1.051860
26.500000,0.009200,0.069134,1.050610
26.600000,0.009200,0.067481,1.049103
26.700000,0.009200,0.065848,1.047347
26.800000,0.009200,0.064249,1.045346
26.900000,0.009200,0.062697,1.043110
27.000000,0.009200,0.061201,1.040645
27.100000,0.009200,0.059770,1.037960
27.200000,0.009200,0.058408,1.035063
27.300000,0.009200,0.057116,1.031965
27.400000,0.009200,0.055893,1.028675
