timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.492418,0.251663,0.043326,-0.148123,2.507286,0.428016,0.999767,0.001648,-0.000103,0.021546
0.200000,5.471042,0.501901,0.085233,-0.275679,2.497709,0.408633,0.998979,0.002157,-0.000047,0.045115
0.300000,5.437828,0.751266,0.124723,-0.386737,2.490032,0.379603,0.997681,0.002157,-0.000032,0.068033
0.400000,5.393931,0.999801,0.160731,-0.490500,2.479486,0.338431,0.995838,0.001961,-0.000473,0.091119
0.500000,5.339769,1.246920,0.192004,-0.592471,2.462013,0.285569,0.993498,0.001377,-0.000773,0.113835
0.600000,5.275448,1.491943,0.217492,-0.694002,2.437242,0.222661,0.990639,0.000369,-0.001012,0.136507
0.700000,5.200913,1.734097,0.236315,-0.796546,2.404508,0.152825,0.987280,-0.000681,-0.001023,0.158983
0.800000,5.116136,1.972634,0.247894,-0.899395,2.364783,0.077950,0.983363,-0.001241,-0.001106,0.181643
0.900000,5.020998,2.206823,0.251865,-1.003105,2.318330,0.001314,0.978930,-0.001504,-0.000892,0.204191
1.000000,4.915526,2.436086,0.248223,-1.106377,2.266159,-0.073801,0.973938,-0.001757,-0.000694,0.226808
1.100000,4.799741,2.659826,0.237178,-1.209207,2.207651,-0.146786,0.968349,-0.001978,-0.000684,0.249593
1.200000,4.673654,2.877440,0.219038,-1.312004,2.144045,-0.215067,0.962319,-0.002172,-0.000387,0.271914
1.300000,4.537375,3.088559,0.194401,-1.413481,2.077932,-0.276574,0.955763,-0.002211,-0.000283,0.294131
1.400000,4.391019,3.292842,0.163992,-1.513428,2.007127,-0.330149,0.948734,-0.002163,-0.000019,0.316069
1.500000,4.234784,3.489901,0.128728,-1.610548,1.933253,-0.373329,0.941120,-0.002144,0.000388,0.338064
1.600000,4.069052,3.679415,0.089704,-1.703386,1.856666,-0.405477,0.933142,-0.002016,0.000603,0.359501
