timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494660,0.254197,0.043431,-0.106302,2.550833,0.428568,0.999721,-0.000141,-0.001015,0.023617
0.200000,5.478850,0.509524,0.085213,-0.209786,2.553093,0.405139,0.998887,-0.000451,-0.001216,0.047140
0.300000,5.452679,0.764343,0.124098,-0.314362,2.541631,0.370368,0.997546,-0.000831,-0.001563,0.069995
0.400000,5.415811,1.017509,0.158934,-0.423713,2.519844,0.324764,0.995672,-0.001338,-0.001746,0.092916
0.500000,5.367762,1.268004,0.188780,-0.538161,2.488915,0.270732,0.993313,-0.001885,-0.001899,0.115425
0.600000,5.308047,1.515019,0.212808,-0.655935,2.450122,0.208576,0.990335,-0.002191,-0.001976,0.138668
0.700000,5.236569,1.757851,0.230299,-0.773984,2.406024,0.140937,0.986907,-0.002339,-0.001918,0.161261
0.800000,5.153299,1.996114,0.240844,-0.890923,2.358623,0.069855,0.982848,-0.002477,-0.001724,0.184391
0.900000,5.058430,2.229440,0.244236,-1.005883,2.307253,-0.001987,0.978341,-0.002603,-0.001387,0.206981
1.000000,4.952123,2.457529,0.240456,-1.119966,2.253510,-0.073443,0.973331,-0.002572,-0.001204,0.229389
1.100000,4.834529,2.680028,0.229635,-1.231578,2.195172,-0.142651,0.967767,-0.002604,-0.000847,0.251833
1.200000,4.705899,2.896467,0.212099,-1.340501,2.133086,-0.207468,0.961792,-0.002584,-0.000520,0.273770
1.300000,4.566583,3.106621,0.188323,-1.445026,2.069647,-0.266927,0.955293,-0.002496,-0.000189,0.295651
1.400000,4.417070,3.310291,0.158978,-1.544326,2.003652,-0.318448,0.948300,-0.002402,0.000332,0.317367
1.500000,4.257937,3.507239,0.124933,-1.637229,1.934730,-0.361051,0.940679,-0.002086,0.000528,0.339292
1.600000,4.089797,3.697107,0.087150,-1.724960,1.862352,-0.392210,0.932854,-0.002200,0.001425,0.360246
1.700000,3.913123,3.879587,0.046945,-1.807964,1.786122,-0.410011,0.924250,-0.002330,0.001520,0.381779
1.800000,3.728340,4.054143,0.005568,-1.887139,1.704814,-0.415195,0.915466,-0.002449,0.002020,0.402384
1.900000,3.535871,4.220449,-0.035631,-1.961131,1.620498,-0.406760,0.905948,-0.002584,0.002219,0.423376
2.000000,3.336290,4.378081,-0.075384,-2.029260,1.532051,-0.386241,0.896219,-0.002627,0.002653,0.443596
2.100000,3.130267,4.526748,-0.112445,-2.089910,1.440930,-0.352869,0.885862,-0.002795,0.003119,0.463930
2.200000,2.918471,4.666122,-0.145622,-2.145346,1.345877,-0.308908,0.875160,-0.002845,0.003454,0.483812
2.300000,2.701349,4.795792,-0.173887,-2.196888,1.246516,-0.255157,0.863904,-0.002728,0.003837,0.503635
2.400000,2.479198,4.915151,-0.196413,-2.246102,1.139904,-0.194189,0.852155,-0.002550,0.004274,0.523266
2.500000,2.252224,5.023598,-0.212539,-2.293102,1.028553,-0.127131,0.839859,-0.002665,0.004721,0.542777
2.600000,2.020674,5.120768,-0.221676,-2.337909,0.914007,-0.055077,0.827082,-0.002688,0.004935,0.562053
2.700000,1.784680,5.206292,-0.223490,-2.381937,0.795824,0.019090,0.813649,-0.002791,0.005339,0.581325
2.800000,1.544330,5.279958,-0.217852,-2.424908,0.677283,0.093443,0.799920,-0.003011,0.005474,0.600074
2.900000,1.299777,5.341759,-0.204913,-2.465155,0.559259,0.164643,0.785649,-0.003266,0.005509,0.618639
3.000000,1.051503,5.392050,-0.185040,-2.499181,0.447737,0.231611,0.770994,-0.003697,0.005368,0.636809
3.100000,0.800233,5.431532,-0.158848,-2.524354,0.343140,0.290790,0.755955,-0.004239,0.005270,0.654588
3.200000,0.546850,5.460801,-0.127106,-2.542268,0.241983,0.342148,0.741001,-0.004569,0.005048,0.671469
3.300000,0.292029,5.479879,-0.090775,-2.552352,0.138983,0.382444,0.725323,-0.004877,0.004969,0.688373
3.400000,0.036665,5.488478,-0.051041,-2.554067,0.032128,0.410102,0.709546,-0.004845,0.004990,0.704625
3.500000,-0.218477,5.486185,-0.009143,-2.547283,-0.078907,0.425455,0.693094,-0.004638,0.005082,0.720814
3.600000,-0.472568,5.472608,0.033590,-2.533653,-0.192510,0.426748,0.676508,-0.004027,0.005077,0.736407
3.700000,-0.725053,5.447611,0.075759,-2.514803,-0.307291,0.414688,0.659311,-0.003530,0.005102,0.751844
3.800000,-0.975310,5.411061,0.116105,-2.489551,-0.424033,0.390180,0.641908,-0.002685,0.004969,0.766761
3.900000,-1.222818,5.362794,0.153413,-2.459934,-0.541564,0.354449,0.623945,-0.002148,0.004713,0.781451
4.000000,-1.467120,5.302716,0.186610,-2.425444,-0.660221,0.307984,0.605703,-0.001525,0.004149,0.795678
4.100000,-1.707790,5.230757,0.214666,-2.387341,-0.778610,0.252099,0.587080,-0.001178,0.003515,0.809520
4.200000,-1.944466,5.146978,0.236790,-2.345520,-0.896639,0.189266,0.568382,-0.000706,0.002782,0.822760
4.300000,-2.176793,5.051472,0.252303,-2.300529,-1.012192,0.119872,0.549216,-0.000296,0.002027,0.835678
4.400000,-2.404558,4.944664,0.260615,-2.254438,-1.123342,0.045799,0.530027,-0.000016,0.001262,0.847980
