timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494119,0.252912,0.043724,-0.115581,2.527396,0.431097,0.999737,0.000046,-0.000504,0.022916
0.200000,5.476681,0.505316,0.086087,-0.231594,2.519578,0.411873,0.998947,0.000045,-0.000603,0.045886
0.300000,5.447648,0.756657,0.125815,-0.347519,2.505974,0.379980,0.997629,0.000066,-0.000583,0.068825
0.400000,5.407109,1.006358,0.161746,-0.462044,2.486690,0.336224,0.995781,0.000077,-0.000551,0.091759
0.500000,5.355153,1.253911,0.192806,-0.575931,2.463367,0.283115,0.993406,0.000107,-0.000501,0.114646
0.600000,5.291858,1.498846,0.218045,-0.688579,2.434350,0.220518,0.990503,0.000153,-0.000454,0.137487
0.700000,5.217396,1.740561,0.236674,-0.799627,2.399198,0.151351,0.987078,0.000183,-0.000414,0.160240
0.800000,5.131862,1.978600,0.248120,-0.909830,2.360485,0.077265,0.983125,0.000192,-0.000388,0.182934
0.900000,5.035469,2.212423,0.252020,-1.017087,2.315028,0.001257,0.978654,0.000180,-0.000357,0.205515
1.000000,4.928438,2.441505,0.248305,-1.122495,2.265766,-0.074672,0.973663,0.000172,-0.000313,0.227991
1.100000,4.810993,2.665431,0.237109,-1.225532,2.211849,-0.147899,0.968156,0.000139,-0.000292,0.250347
1.200000,4.683342,2.883701,0.218744,-1.326229,2.152885,-0.217568,0.962130,0.000091,-0.000273,0.272592
1.300000,4.545793,3.095884,0.193746,-1.423480,2.089795,-0.280288,0.955595,0.000051,-0.000267,0.294683
1.400000,4.398672,3.301521,0.162927,-1.517568,2.022265,-0.333597,0.948553,0.000007,-0.000267,0.316618
1.500000,4.242280,3.500193,0.127244,-1.608929,1.950276,-0.377244,0.941012,-0.000045,-0.000266,0.338373
1.600000,4.076922,3.691428,0.087743,-1.696861,1.873740,-0.409908,0.932965,-0.000129,-0.000270,0.359968
1.700000,3.902947,3.874822,0.045607,-1.781286,1.793144,-0.430037,0.924429,-0.000180,-0.000258,0.381354
1.800000,3.720702,4.050000,0.002134,-1.861736,1.709241,-0.436412,0.915401,-0.000236,-0.000243,0.402543
1.900000,3.530606,4.216595,-0.041327,-1.938203,1.621376,-0.430125,0.905884,-0.000338,-0.000250,0.423525
2.000000,3.333057,4.374254,-0.083475,-2.010673,1.530374,-0.410701,0.895892,-0.000410,-0.000241,0.444272
2.100000,3.128470,4.522669,-0.123049,-2.078947,1.436256,-0.378758,0.885418,-0.000522,-0.000259,0.464796
2.200000,2.917297,4.661477,-0.158831,-2.142145,1.338679,-0.335039,0.874477,-0.000651,-0.000267,0.485067
2.300000,2.700021,4.790401,-0.189721,-2.201229,1.238191,-0.281470,0.863079,-0.000751,-0.000289,0.505069
2.400000,2.477040,4.909184,-0.214791,-2.256119,1.135107,-0.219583,0.851221,-0.000875,-0.000317,0.524806
2.500000,2.248844,5.017511,-0.233300,-2.305481,1.029482,-0.150831,0.838914,-0.000981,-0.000298,0.544262
2.600000,2.015927,5.115141,-0.244702,-2.350577,0.921173,-0.077687,0.826155,-0.001097,-0.000291,0.563441
2.700000,1.778753,5.201858,-0.248662,-2.390566,0.810697,-0.002398,0.812964,-0.001241,-0.000309,0.582313
2.800000,1.537842,5.277472,-0.245058,-2.425451,0.698717,0.072768,0.799334,-0.001421,-0.000360,0.600885
2.900000,1.293668,5.341795,-0.234053,-2.455952,0.584857,0.145189,0.785291,-0.001624,-0.000414,0.619124
3.000000,1.046668,5.394700,-0.216014,-2.481429,0.470314,0.213684,0.770823,-0.001815,-0.000433,0.637047
3.100000,0.797363,5.436069,-0.191430,-2.502147,0.354365,0.275107,0.755957,-0.002028,-0.000451,0.654618
3.200000,0.546267,5.465820,-0.161133,-2.517032,0.238002,0.327939,0.740713,-0.002204,-0.000514,0.671817
3.300000,0.293884,5.483942,-0.126033,-2.527279,0.121871,0.371429,0.725039,-0.002390,-0.000542,0.688703
3.400000,0.040739,5.490427,-0.087140,-2.532225,0.005559,0.403115,0.709035,-0.002523,-0.000547,0.705169
3.500000,-0.212621,5.485289,-0.045727,-2.531708,-0.110550,0.422162,0.692648,-0.002626,-0.000533,0.721271
3.600000,-0.465680,5.468532,-0.003057,-2.526396,-0.226730,0.428045,0.675886,-0.002710,-0.000456,0.737001
3.700000,-0.717898,5.440200,0.039543,-2.514489,-0.342282,0.421036,0.658757,-0.002765,-0.000388,0.752350
3.800000,-0.968730,5.400377,0.080856,-2.498170,-0.456815,0.401963,0.641315,-0.002788,-0.000282,0.767273
3.900000,-1.217635,5.349166,0.119565,-2.476165,-0.570342,0.369739,0.623512,-0.002769,-0.000159,0.781809
4.000000,-1.464080,5.286590,0.154434,-2.448755,-0.683275,0.325236,0.605382,-0.002715,0.000026,0.795930
4.100000,-1.707489,5.212837,0.184361,-2.415544,-0.794024,0.271137,0.586928,-0.002656,0.000149,0.809635
4.200000,-1.947344,5.128099,0.208419,-2.377545,-0.903055,0.208474,0.568163,-0.002600,0.000259,0.822912
4.300000,-2.183107,5.032503,0.225886,-2.334215,-1.010527,0.139090,0.549097,-0.002548,0.000360,0.835755
4.400000,-2.414308,4.926285,0.236144,-2.286328,-1.115256,0.065148,0.529736,-0.002494,0.000485,0.848159
4.500000,-2.640427,4.809670,0.238911,-2.232709,-1.217817,-0.010386,0.510120,-0.002428,0.000591,0.860100
4.600000,-2.860959,4.682935,0.234075,-2.174490,-1.317631,-0.086034,0.490214,-0.002351,0.000711,0.871599
4.700000,-3.075441,4.546372,0.221729,-2.111484,-1.414696,-0.159796,0.470044,-0.002284,0.000838,0.882639
4.800000,-3.283378,4.400253,0.202239,-2.044072,-1.508222,-0.228356,0.449633,-0.002226,0.000914,0.893210
4.900000,-3.484343,4.244967,0.176174,-1.972130,-1.598094,-0.290327,0.428960,-0.002145,0.001009,0.903320
5.000000,-3.677892,4.080811,0.144315,-1.895893,-1.685362,-0.343580,0.408076,-0.002052,0.001069,0.912945
5.100000,-3.863632,3.908118,0.107654,-1.816195,-1.768713,-0.386186,0.386976,-0.001954,0.001120,0.922087
5.200000,-4.041170,3.727292,0.067265,-1.731855,-1.848322,-0.417229,0.365636,-0.001830,0.001195,0.930755
5.300000,-4.210113,3.538708,0.024395,-1.644238,-1.923417,-0.435663,0.344125,-0.001737,0.001201,0.938922
5.400000,-4.370057,3.342759,-0.019649,-1.552149,-1.995309,-0.440348,0.322424,-0.001638,0.001221,0.946593
5.500000,-4.520615,3.139823,-0.063479,-1.456363,-2.063304,-0.431459,0.300520,-0.001520,0.001227,0.953773
5.600000,-4.661438,2.930321,-0.105768,-1.357518,-2.126443,-0.409359,0.278466,-0.001387,0.001222,0.960444
5.700000,-4.792215,2.714734,-0.145224,-1.255539,-2.185052,-0.374869,0.256237,-0.001293,0.001172,0.966613
