timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494145,0.252904,0.043696,-0.115261,2.527401,0.430910,0.999738,0.000041,-0.000522,0.022899
0.200000,5.476753,0.505267,0.086036,-0.231397,2.518741,0.412270,0.998947,0.000052,-0.000621,0.045867
0.300000,5.447773,0.756574,0.125800,-0.347073,2.506023,0.380275,0.997626,0.000068,-0.000595,0.068859
0.400000,5.407243,1.006293,0.161767,-0.462149,2.487295,0.336738,0.995779,0.000107,-0.000555,0.091777
0.500000,5.355274,1.253902,0.192813,-0.575941,2.463659,0.282471,0.993405,0.000127,-0.000505,0.114657
0.600000,5.292011,1.498838,0.217978,-0.688660,2.434055,0.219527,0.990502,0.000147,-0.000469,0.137498
0.700000,5.217553,1.740580,0.236507,-0.799937,2.399961,0.150729,0.987076,0.000171,-0.000432,0.160253
0.800000,5.132046,1.978623,0.247908,-0.909567,2.359920,0.077322,0.983124,0.000192,-0.000416,0.182940
0.900000,5.035694,2.212421,0.251867,-1.016633,2.315199,0.002037,0.978653,0.000177,-0.000366,0.205520
1.000000,4.928702,2.441519,0.248214,-1.122247,2.265863,-0.073964,0.973660,0.000145,-0.000338,0.228005
1.100000,4.811284,2.665465,0.237056,-1.225256,2.212126,-0.147835,0.968155,0.000146,-0.000300,0.250352
1.200000,4.683706,2.883763,0.218709,-1.325152,2.152944,-0.217147,0.962129,0.000099,-0.000294,0.272594
1.300000,4.546248,3.095924,0.193754,-1.422962,2.089249,-0.279611,0.955594,0.000061,-0.000294,0.294686
1.400000,4.399145,3.301498,0.162995,-1.517974,2.021392,-0.333278,0.948555,0.000005,-0.000273,0.316612
1.500000,4.242724,3.500079,0.127292,-1.609253,1.949202,-0.377628,0.941014,-0.000038,-0.000253,0.338368
1.600000,4.077340,3.691248,0.087775,-1.697230,1.873188,-0.410067,0.932971,-0.000118,-0.000290,0.359952
1.700000,3.903318,3.874610,0.045638,-1.781391,1.793040,-0.429435,0.924431,-0.000182,-0.000260,0.381348
1.800000,3.721057,4.049751,0.002213,-1.862089,1.708609,-0.436036,0.915412,-0.000247,-0.000247,0.402518
1.900000,3.530951,4.216321,-0.041218,-1.938286,1.621304,-0.429880,0.905899,-0.000349,-0.000235,0.423494
2.000000,3.333390,4.373991,-0.083349,-2.010741,1.530904,-0.410394,0.895910,-0.000420,-0.000245,0.444235
2.100000,3.128811,4.522405,-0.122882,-2.078537,1.436380,-0.378182,0.885438,-0.000537,-0.000269,0.464758
2.200000,2.917634,4.661198,-0.158592,-2.142504,1.338240,-0.334327,0.874501,-0.000649,-0.000259,0.485023
2.300000,2.700339,4.790091,-0.189416,-2.201067,1.237925,-0.281129,0.863103,-0.000762,-0.000266,0.505027
2.400000,2.477373,4.908817,-0.214468,-2.255823,1.135109,-0.219523,0.851246,-0.000895,-0.000291,0.524767
2.500000,2.249174,5.017102,-0.232992,-2.305691,1.029152,-0.150894,0.838936,-0.000990,-0.000277,0.544230
2.600000,2.016250,5.114725,-0.244410,-2.350402,0.921406,-0.078177,0.826180,-0.001109,-0.000263,0.563404
2.700000,1.779069,5.201503,-0.248435,-2.390747,0.811540,-0.003272,0.812997,-0.001255,-0.000270,0.582266
2.800000,1.538132,5.277181,-0.244940,-2.425581,0.699163,0.071746,0.799384,-0.001428,-0.000346,0.600819
2.900000,1.293950,5.341552,-0.234018,-2.455690,0.585430,0.144487,0.785335,-0.001636,-0.000439,0.619069
