timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.492402,0.251580,0.043578,-0.152030,2.506553,0.432510,0.999765,0.001390,-0.000085,0.021655
0.200000,5.469814,0.501889,0.086189,-0.297197,2.500241,0.417884,0.998937,0.001754,0.000396,0.046066
0.300000,5.433658,0.751688,0.126751,-0.421580,2.495862,0.391280,0.997662,0.002278,0.000951,0.068296
0.400000,5.386200,1.000893,0.163881,-0.525527,2.486228,0.348772,0.995855,0.002272,0.000711,0.090924
0.500000,5.328967,1.248775,0.196150,-0.617264,2.470914,0.295878,0.993715,0.002285,0.000954,0.111912
0.600000,5.262898,1.494735,0.222610,-0.704338,2.445852,0.230642,0.990799,0.001286,-0.000642,0.135331
0.700000,5.188032,1.737631,0.241896,-0.792905,2.412640,0.154304,0.987548,-0.000227,-0.000856,0.157316
0.800000,5.104251,1.977170,0.253270,-0.882645,2.376006,0.072167,0.983626,-0.000456,-0.001463,0.180215
0.900000,5.011452,2.212400,0.256285,-0.974121,2.327243,-0.011267,0.979265,-0.000784,-0.001376,0.202579
1.000000,4.909176,2.442373,0.251061,-1.072989,2.270862,-0.092984,0.974425,-0.000846,-0.001877,0.224704
1.100000,4.796611,2.666121,0.237924,-1.179024,2.201147,-0.167688,0.968230,-0.001603,-0.000797,0.250055
1.200000,4.673214,2.882334,0.217830,-1.289647,2.123928,-0.232848,0.962192,-0.001908,-0.000608,0.272366
1.300000,4.538743,3.091053,0.191603,-1.398466,2.051063,-0.290991,0.955423,-0.002397,-0.000975,0.295228
1.400000,4.393746,3.292737,0.159935,-1.500502,1.984110,-0.341034,0.948595,-0.003206,-0.000744,0.316474
1.500000,4.238848,3.487887,0.123686,-1.596371,1.917865,-0.382714,0.940675,-0.002964,-0.000753,0.339295
1.600000,4.074582,3.676111,0.083704,-1.689216,1.846245,-0.415302,0.932986,-0.002006,-0.000234,0.359908
